Date,kospi_종가,일일확진자
2020-01-20,2262.639892578125,1
2020-01-21,2239.68994140625,0
2020-01-22,2267.25,0
2020-01-23,2246.1298828125,0
2020-01-28,2176.719970703125,0
2020-01-29,2185.280029296875,0
2020-01-30,2148.0,3
2020-01-31,2119.010009765625,4
2020-02-03,2118.8798828125,0
2020-02-04,2157.89990234375,1
2020-02-05,2165.6298828125,5
2020-02-06,2227.93994140625,3
2020-02-07,2211.949951171875,0
2020-02-10,2201.070068359375,1
2020-02-11,2223.1201171875,0
2020-02-12,2238.3798828125,0
2020-02-13,2232.9599609375,0
2020-02-14,2243.590087890625,0
2020-02-17,2242.169921875,0
2020-02-18,2208.8798828125,2
2020-02-19,2210.340087890625,34
2020-02-20,2195.5,16
2020-02-21,2162.840087890625,74
2020-02-24,2079.0400390625,207
2020-02-25,2103.610107421875,130
2020-02-26,2076.77001953125,253
2020-02-27,2054.889892578125,449
2020-02-28,1987.010009765625,427
2020-03-02,2002.510009765625,686
2020-03-03,2014.1500244140625,600
2020-03-04,2059.330078125,516
2020-03-05,2085.260009765625,438
2020-03-06,2040.219970703125,518
2020-03-09,1954.77001953125,248
2020-03-10,1962.9300537109373,131
2020-03-11,1908.27001953125,242
2020-03-12,1834.3299560546875,114
2020-03-13,1771.43994140625,110
2020-03-16,1714.8599853515625,74
2020-03-17,1672.43994140625,84
2020-03-18,1591.199951171875,93
2020-03-19,1457.6400146484375,152
2020-03-20,1566.1500244140625,87
2020-03-23,1482.4599609375,64
2020-03-24,1609.969970703125,76
2020-03-25,1704.760009765625,100
2020-03-26,1686.239990234375,104
2020-03-27,1717.72998046875,91
2020-03-30,1717.1199951171875,78
2020-03-31,1754.6400146484375,125
2020-04-01,1685.4599609375,101
2020-04-02,1724.8599853515625,89
2020-04-03,1725.43994140625,86
2020-04-06,1791.8800048828125,47
2020-04-07,1823.5999755859373,47
2020-04-08,1807.1400146484373,53
2020-04-09,1836.2099609375,39
2020-04-10,1860.699951171875,27
