날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,220.02,221.24,219.51,219.77,65508186,3234851407178
2020-01-21,219.97,220.32,217.75,217.79,56489016,2741129978142
2020-01-22,218.51,220.51,218.38,220.49,63994002,3223259668800
2020-01-23,219.59,220.19,218.48,219.1,71991658,3768261616939
2020-01-28,214.16,215.24,211.5,212.3,106508090,4833487191350
2020-01-29,213.33,213.95,211.59,213.08,69285619,3556836316701
2020-01-30,213.02,213.93,209.68,210.38,80713443,3838509597720
2020-01-31,211.52,211.72,207.65,207.65,81706418,3848569297387
2020-02-03,204.89,207.83,203.73,206.8,87068163,3986271107695
2020-02-04,207.48,210.49,207.39,209.86,83651654,4219141200507
2020-02-05,211.4,211.6,209.39,210.25,83361504,4291164976795
2020-02-06,211.95,217.46,211.85,216.75,95488465,4671486051066
2020-02-07,215.95,216.5,214.17,215.35,91710529,5119848288014
2020-02-10,213.0,214.84,212.28,214.46,59116018,2777531519197
2020-02-11,215.73,218.15,215.63,217.39,67279773,3792846144840
2020-02-12,217.1,219.16,216.46,218.77,97730211,3904530779174
2020-02-13,218.88,220.03,217.46,217.76,96624969,4663726572807
2020-02-14,217.43,219.34,216.72,218.06,67257079,3112578874313
2020-02-17,218.23,218.91,216.76,218.32,75535598,3027618356957
2020-02-18,216.86,217.97,215.38,215.9,68079157,3114919767314
2020-02-19,217.47,217.79,214.19,215.84,71307581,3581717832180
2020-02-20,216.77,217.28,213.22,214.38,75418055,3632536235235
2020-02-21,211.65,213.32,210.92,211.22,86930911,3527463837297
2020-02-24,206.59,207.25,203.08,203.14,107196705,4668225337859
2020-02-25,202.92,204.93,202.28,204.68,93140052,4407928756733
2020-02-26,201.25,203.85,200.78,202.51,94067942,4128850328605
2020-02-27,202.17,203.33,199.57,200.5,87289570,3738967039303
2020-02-28,196.77,197.84,192.75,193.7,172558588,5821233100958
2020-03-02,194.33,196.34,192.26,194.82,133319426,4333246716194
2020-03-03,199.1,199.4,194.95,195.4,116388946,4131502901084
2020-03-04,195.1,199.56,195.06,198.96,183690949,4178727565550
2020-03-05,200.99,202.17,199.27,201.76,125744716,4387414348062
2020-03-06,199.05,199.56,196.47,197.27,122188875,3569869839032
2020-03-09,191.42,191.99,187.98,188.39,152406247,4988918154495
2020-03-10,187.48,189.92,186.66,189.37,140987666,5304712070972
2020-03-11,190.03,190.35,184.26,185.51,148499833,4508734726170
2020-03-12,184.31,184.53,175.3,177.67,194319677,6729615776655
2020-03-13,166.41,174.84,162.34,171.64,239435726,7821770309855
2020-03-16,175.24,175.24,165.13,165.2,141711015,5021914105056
2020-03-17,157.81,165.58,157.73,161.47,165514762,5575956143396
2020-03-18,162.55,163.03,152.49,152.52,167890721,5535363664679
2020-03-19,156.12,156.26,137.17,139.32,246634161,7392643295913
2020-03-20,143.73,150.82,139.61,150.54,219618290,6386807016546
2020-03-23,141.14,146.77,138.94,142.92,168601384,5968339995313
2020-03-24,147.31,155.2,145.66,154.99,175932742,6127159848161
2020-03-25,160.84,165.68,158.62,165.56,253370601,7662285805719
2020-03-26,164.77,168.89,162.56,163.22,248654514,7245997526684
2020-03-27,170.77,171.26,162.24,167.14,209201391,6444953025584
2020-03-30,162.16,168.09,160.84,166.5,140432568,4497408867961
2020-03-31,168.85,171.4,167.69,171.4,209789735,8648792276748
2020-04-01,169.58,172.07,163.48,163.54,201323385,6631429992613
2020-04-02,164.04,168.07,161.0,167.7,160168373,6550719085785
2020-04-03,168.03,169.24,165.14,167.19,158253022,5239795470255
2020-04-06,169.32,174.27,168.88,174.03,167339593,5429056172286
2020-04-07,177.14,178.48,173.29,176.83,192926371,6468693129039
2020-04-08,175.84,178.83,174.8,175.38,148113892,5097087199243
2020-04-09,178.45,178.69,176.48,178.51,153315770,5152966042037
2020-04-10,178.45,181.09,177.32,180.83,268272273,7145347546319
2020-04-13,180.28,180.53,177.53,177.54,181467083,5422370956698
2020-04-14,179.77,181.6,178.73,180.68,178911910,5629965841513
2020-04-16,178.37,181.1,177.29,180.3,174191195,5936473679570
