날짜,기관합계,기타법인,개인,외국인합계,전체
2020-01-20,1462567755912,67696210122,3010319524658,1409819542508,5950403033200
2020-01-21,1105146490746,55395449864,3173930098423,1235078525889,5569550564922
2020-01-22,1562229584183,45215348504,3162755389194,1595416959422,6365617281303
2020-01-23,1424617404962,64826325599,3707095553165,1593564683421,6790103967147
2020-01-28,1993707592079,102767277869,4739586730878,1982170790014,8818232390840
2020-01-29,1533896388224,52252304395,3354632961783,1649167846894,6589949501296
2020-01-30,1628996526666,104038471219,3696909832906,1675258251221,7105203082012
2020-01-31,1802854173281,52642517485,3428206436736,1942984041535,7226687169037
2020-02-03,2050567185409,75193656862,3914187098195,2028756091759,8068704032225
2020-02-04,1687262203512,59328665148,3693714183438,2350873350918,7791178403016
2020-02-05,1573993876555,47519264291,3755953970706,2358807980501,7736275092053
2020-02-06,2039388318080,63491633640,4039503016795,2192354863791,8334737832306
2020-02-07,1298702542591,1854052001039,3883416903208,1777002971165,8813174418003
2020-02-10,1225468824013,52333676702,2886383702868,1306875020483,5471061224066
2020-02-11,1649173362976,54337298025,3348928007617,1558756649848,6611195318466
2020-02-12,1673486493199,56404145296,3338858806981,1823448364462,6892197809938
2020-02-13,2177070122885,115797402979,3734383028593,2093946854317,8121197408774
2020-02-14,1379607286219,56211843398,3304324265473,1639421989051,6379565384141
2020-02-17,1237960451921,56484997406,3265100551887,1079654665769,5639200666983
2020-02-18,1127680337547,98879986706,3766362976171,1418527775259,6411451075683
2020-02-19,1518147218197,106633829435,3794747804463,1687504755163,7107033607258
2020-02-20,1533928348690,68564164924,4318400644426,1756778954539,7677672112579
2020-02-21,1181490319156,71600555110,3928803364559,1923961899675,7105856138500
2020-02-24,2035458037379,85456242477,5061648544468,2132911999838,9315474824162
2020-02-25,2062260983908,80237138263,4728643457679,2081136607771,8952278187621
2020-02-26,2053470753995,82128230152,3988595978711,1936132493603,8060327456461
2020-02-27,1919893013783,78405437183,3509476479147,1733399488557,7241174418670
2020-02-28,2490250033884,97654566207,4227268278475,3112787610838,9927960489404
2020-03-02,2162848797657,82317507464,3505552385908,2060284112306,7811002803335
2020-03-03,1831135635670,77367750647,4692406958282,2086936219343,8687846563942
2020-03-04,1823928708753,65713961255,3695502882905,2244047190766,7829192743679
2020-03-05,1826353313748,71710216980,4005826513973,2050459084351,7954349129052
2020-03-06,1573794106800,72413954363,4107360485970,1479969371803,7233537918936
2020-03-09,2075262291159,128219999383,4953255328184,1640206251717,8796943870443
2020-03-10,2614717697342,99799135063,4190075072269,2229101327745,9133693232419
2020-03-11,1771854620209,104953046349,4277451471024,2443837401981,8598096539563
2020-03-12,3360460187001,143231978821,4959293060994,2846968012081,11309953238897
2020-03-13,3114205572650,204699639200,6672132892223,3385899776203,13376937880276
2020-03-16,1605651649513,138817976030,5009437720753,1839925972506,8593833318802
2020-03-17,2207634802887,103766286479,4943853372120,2453822214948,9709076676434
2020-03-18,1692205961353,147484292958,5598757643231,2137939538845,9576387436387
2020-03-19,2831089157531,177629452718,6224058470266,2699714955370,11932492035885
2020-03-20,2566011557040,135309376220,5553595694677,2378053486761,10632970114698
2020-03-23,1717209363320,126460416005,5983399677569,1818202177296,9645271634190
2020-03-24,2405757224094,144639461562,5936264461098,1994786590483,10481447737237
2020-03-25,2487281596779,122638355872,7742516439653,2259851474980,12612287867284
2020-03-26,2262036178021,103273331487,7771967329793,2236920777303,12374197616604
2020-03-27,2325105322192,148911514336,8231472093314,2146444032277,12851932962119
2020-03-30,1845738806453,61800722519,5778692184574,1394818089486,9081049803032
2020-03-31,1767275581066,78562982711,9660585975626,2398944527344,13905369066747
2020-04-01,1498154748171,96363504759,8790647666964,1725341461784,12110507381678
2020-04-02,1846481460957,72821377109,6100954320182,2131987560494,10152244718742
2020-04-03,1449405300345,70383726570,7149958500844,1483966878330,10153714406089
2020-04-06,2059403167929,133190042510,7296331134324,1468558847772,10957483192535
2020-04-07,1919200487068,81525645633,7704602292356,1923607118452,11628935543509
2020-04-08,1615287904394,78384143859,7816032989272,1616837122090,11126542159615
2020-04-09,1958745459242,74765216400,7044635205910,1439212668235,10517358549787
2020-04-10,1507593189214,89515367989,9017108457579,1395771822444,12009988837226
2020-04-13,1179054899794,80543070718,7410156940618,846949184980,9516704096110
2020-04-14,1451621450540,74687760311,7151600052529,1317944822964,9995854086344
2020-04-16,1434622091002,88247004870,7015744074139,2172180029988,10710793199999
2020-04-17,1865943693393,133904632868,9922700248009,2205173831246,14127722405516
2020-04-20,1367766290095,86212344694,8990240396952,1471713177861,11915932209602
2020-04-21,1885515885531,133834966074,9814006376056,2029807223313,13863164450974
2020-04-22,1561470302374,88664922829,6347312910505,1431224498145,9428672633853
2020-04-23,1751581998424,73358701196,5759867949080,1539463167211,9124271815911
2020-04-24,1151833085765,70903966839,7077912324613,1346695101623,9647344478840
2020-04-27,1702387378713,64962039359,5021626690964,1382692737841,8171668846877
2020-04-28,1449346429696,71018696725,7347542521370,1507170655198,10375078302989
2020-04-29,1673393906021,70050262534,7013917097453,1767767266471,10525128532479
2020-05-04,1269040143214,97760600641,7151398526420,1743702932582,10261902202857
2020-05-06,1568883389804,65265567992,5368896582226,1547655428701,8550700968723
2020-05-07,1360870799317,67510747399,4733641892768,1221311644035,7383335083519
2020-05-08,1517052317875,83433784308,4854770579225,1486310883006,7941567564414
2020-05-11,1293032738161,79294749199,5182146834832,1198286484781,7752760806973
2020-05-12,1462463546230,81335183896,6552964189574,1585133715350,9681896635050
2020-05-13,1666169856005,75340137066,5560143987839,1710653837171,9012307818081
2020-05-14,1842269447402,67288137235,6191860453692,1367603366329,9469021404658
2020-05-15,1625051076274,72320506454,6671824805525,1354116319825,9723312708078
2020-05-18,1486014365579,84450352087,6446327288022,1377514867414,9394306873102
2020-05-19,2454381922239,114717990855,7400618811029,1948581566069,11918300290192
2020-05-20,1426248315568,56192554252,5298057675150,1468133491116,8248632036086
2020-05-21,1411787543732,71762207008,5634556842001,1518891107143,8636997699884
2020-05-22,1379329368624,84207499052,6861144737787,1185090154863,9509771760326
2020-05-25,1523659706143,73186636454,5452648676864,910829736643,7960324756104
2020-05-26,2038987554672,227108552766,8765786964985,1513430507358,12545313579781
2020-05-27,1853924088881,103233314664,8958524467733,1719416516059,12635098387337
2020-05-28,2634443476215,118367951071,9387117717096,2339284247008,14479213391390
2020-05-29,1904664006436,82883172106,7542578031589,4554464956669,14084590166800
2020-06-01,1731229221942,90327629549,6375072431148,1643028100399,9839657383038
2020-06-02,1784627607709,98830594642,6991589993126,1357868418126,10232916613603
2020-06-03,3960820117473,139907811848,10481123428013,2416980894165,16998832251499
