날짜,기관합계,기타법인,개인,외국인합계,전체
2020-01-20,1490392954355,48669397945,3064999974747,1346340706153,5950403033200
2020-01-21,1290461632032,25812967584,2813413417963,1439862547343,5569550564922
2020-01-22,1273726685665,42040896183,3380963889530,1668885809925,6365617281303
2020-01-23,1904165474571,33238442629,3125771025242,1726929024705,6790103967147
2020-01-28,2183125422480,55753389826,4072431132536,2506922445998,8818232390840
2020-01-29,2031501613849,28489105965,2981975473738,1547983307744,6589949501296
2020-01-30,2071721976061,45781815866,3033681669819,1954017620266,7105203082012
2020-01-31,1631158321231,78070035549,3149450733605,2368008078652,7226687169037
2020-02-03,1880794555716,55047527830,3796172857450,2336689091229,8068704032225
2020-02-04,2389241737304,46247165713,3491095466148,1864594033851,7791178403016
2020-02-05,2482230614953,33526653665,3321858008233,1898659815202,7736275092053
2020-02-06,1522686953921,44535459923,4727558028611,2039957389851,8334737832306
2020-02-07,1764655557974,1804945513408,3491813335404,1751760011217,8813174418003
2020-02-10,1390480368673,19144742338,2450928602687,1610507510368,5471061224066
2020-02-11,1330949230373,58146478204,3569318559422,1652781050467,6611195318466
2020-02-12,1524620497423,33791747467,3292842227574,2040943337474,6892197809938
2020-02-13,2504848974200,60992667937,3738238142970,1817117623667,8121197408774
2020-02-14,1488232205740,40137427344,3305459899167,1545735851890,6379565384141
2020-02-17,1224055544134,36996869517,3069101419319,1309046834013,5639200666983
2020-02-18,1655813976783,32420599503,2999272381754,1723944117643,6411451075683
2020-02-19,1529921434975,34561014002,3634703193000,1907847965281,7107033607258
2020-02-20,1869513142258,37116099353,4125960999687,1645081871281,7677672112579
2020-02-21,1716527778709,38234251759,3645090089829,1706004018203,7105856138500
2020-02-24,1843811318720,103931914407,4453244244931,2914487346104,9315474824162
2020-02-25,1948750163735,35284415119,4118313863234,2849929745533,8952278187621
2020-02-26,2029795434208,20922756328,3199969164265,2809640101660,8060327456461
2020-02-27,1921807537752,26172549935,3162994956303,2130199374680,7241174418670
2020-02-28,2132613223797,51428844438,3997409202365,3746509218804,9927960489404
2020-03-02,1892552554369,28190469784,3043978409206,2846281369976,7811002803335
2020-03-03,2278495010077,31891975714,3983367597250,2394091980901,8687846563942
2020-03-04,1994544720109,41898743103,3699256234966,2093493045501,7829192743679
2020-03-05,2027902942250,45588446879,3684518197818,2196339542105,7954349129052
2020-03-06,1836295005312,37752305882,3315855283853,2043635323889,7233537918936
2020-03-09,2121598083556,54343814434,3673302631942,2947699340511,8796943870443
2020-03-10,2003437625954,32844060444,3878646272964,3218765273057,9133693232419
2020-03-11,2255654548994,26269352825,3188838524965,3127334112779,8598096539563
2020-03-12,3084820165395,68642065418,4420444678297,3736046329787,11309953238897
2020-03-13,2529414192452,72908165090,6225865325424,4548750197310,13376937880276
2020-03-16,1952181022264,39959753356,4083183851761,2518508691421,8593833318802
2020-03-17,1857407091510,51932357659,4342859853791,3456877373474,9709076676434
2020-03-18,2206733313659,40800289057,4685141765427,2643712068244,9576387436387
2020-03-19,2541250801975,94635473890,5981956536561,3314649223459,11932492035885
2020-03-20,2254424165921,64047178217,5353204016409,2961294754151,10632970114698
2020-03-23,2078356167173,44862961395,5063361984771,2458690520851,9645271634190
2020-03-24,1903307290272,102433972095,6398595481219,2077110993651,10481447737237
2020-03-25,2582099894751,133155767027,7314180388067,2582851817439,12612287867284
2020-03-26,2475827441625,75398344018,7055386297519,2767585533442,12374197616604
2020-03-27,2195070875327,79665984406,8058400922849,2518795179537,12851932962119
2020-03-30,1622141490141,56751597327,5580121357260,1822035358304,9081049803032
2020-03-31,2057398227057,101894955211,9276062746501,2470013137978,13905369066747
2020-04-01,2118068810546,52013300129,7639891984969,2300533286034,12110507381678
2020-04-02,1486578881221,79436553561,5830922214623,2755307069337,10152244718742
2020-04-03,1532710288874,47497947013,6801273586463,1772232583739,10153714406089
2020-04-06,1023308731906,124349953109,8139348348979,1670476158541,10957483192535
2020-04-07,1886331612737,68513979899,7555372245108,2118717705765,11628935543509
2020-04-08,1897240297179,113880907643,7364050537063,1751370417730,11126542159615
2020-04-09,2088311802129,60971329067,6750577979512,1617497439079,10517358549787
2020-04-10,1713512778649,79754747335,8765113695733,1451607615509,12009988837226
2020-04-13,1636607661594,89747676041,6651357298168,1138991460307,9516704096110
2020-04-14,983683511104,57840634561,7604635732551,1349694208128,9995854086344
2020-04-16,1298348502412,44585090163,6626932143233,2740927464191,10710793199999
2020-04-17,1630305437714,82427494926,10528401656382,1886587816494,14127722405516
2020-04-20,1852629929706,59304585209,8034273433590,1969724261097,11915932209602
2020-04-21,2075898167637,124681310851,9104593929555,2557991042931,13863164450974
2020-04-22,1871310257819,61090669938,6029514069710,1466757636386,9428672633853
2020-04-23,1651564035985,51588898349,5775427553790,1645691327787,9124271815911
2020-04-24,1574888786929,49875027870,6445143844641,1577436819400,9647344478840
2020-04-27,1174506496702,61993781156,5570794360493,1364374208526,8171668846877
2020-04-28,1425450531344,55595971222,7261910449091,1632121351332,10375078302989
2020-04-29,1421242779354,70965721193,7500942780977,1531977250955,10525128532479
2020-05-04,2075022784026,49841705053,5451329393450,2685708320328,10261902202857
2020-05-06,1259844968865,59600767636,5369034190234,1862221041988,8550700968723
2020-05-07,1304372852489,57303865958,4480203437093,1541454927979,7383335083519
2020-05-08,1346580239295,55873316727,5097929030901,1441184977491,7941567564414
2020-05-11,1656162486590,57323227691,4670921079361,1368354013331,7752760806973
2020-05-12,1760984740433,78011146101,5947227421750,1895673326766,9681896635050
2020-05-13,1572653113392,66484923536,5344784402477,2028385378676,9012307818081
2020-05-14,2079496026348,64548944503,5405282414300,1919694019507,9469021404658
2020-05-15,1382444139268,66286981907,6448397199252,1826184387651,9723312708078
2020-05-18,1452103082941,55379518671,6416247795842,1470576475648,9394306873102
2020-05-19,1611203283443,136830987854,8587519533288,1582746485607,11918300290192
2020-05-20,1328105971768,51305604476,5479929837413,1389290622429,8248632036086
2020-05-21,1800022605234,50354436810,5344147400843,1442473256997,8636997699884
2020-05-22,1827794965084,96992252801,5924995060246,1659989482195,9509771760326
2020-05-25,1488958006994,62110030396,5356879787599,1052376931115,7960324756104
2020-05-26,1697306414593,103023066068,9245699125737,1499284973383,12545313579781
2020-05-27,1926644771311,136844688969,8636905597477,1934703329580,12635098387337
2020-05-28,2411927052942,117094225563,9671304603110,2278887509775,14479213391390
2020-05-29,1924788787699,52650463463,7352790801925,4754360113713,14084590166800
2020-06-01,1406191755682,79990768542,6820603333109,1532871525705,9839657383038
2020-06-02,1749589872295,76784998217,7001430600826,1405111142265,10232916613603
2020-06-03,2826338165397,161152202785,11799319931860,2212021951457,16998832251499
2020-06-04,2861530476363,136568225142,10622918270776,2412985170009,16034002142290
2020-06-05,2009736559792,87488563234,8977087653877,1704593029792,12778905806695
2020-06-08,2458312983702,103884210337,8797544583365,1785777330059,13145519107463
2020-06-09,2433036727638,117814056830,10373585255146,1765424788738,14689860828352
2020-06-10,1872999902770,97497250034,9079735586995,1837950355270,12888183095069
2020-06-11,4478769403298,158467769594,9843251878910,2506568568401,16987057620203
2020-06-12,2643263685732,135718840657,10059064598452,2122733714062,14960780838903
2020-06-15,3006542434058,141726376878,12601558631818,2492637074928,18242464517682
2020-06-16,2099782594348,94141850306,9797158224148,1845974229496,13837056898298
2020-06-17,2589913127957,85397581312,10301644344330,2481485147035,15458440200634
2020-06-18,1792485446164,114668408207,7438163329304,1744553836466,11089871020141
2020-06-19,1859723742674,67101319804,7974267489477,2399405867569,12300498419524
2020-06-22,1713527889939,65106866024,6723259733996,1596420759016,10098315248975
2020-06-23,2399210469269,117933414116,9241883489330,1737054000072,13496081372787
2020-06-24,2389243708913,78606545599,9059425652979,1797521783045,13324797690536
2020-06-25,2468288166766,66854067616,6645532556290,1511952307907,10692627098579
2020-06-26,1770517012797,66930064653,6617086573304,1366625997428,9821159648182
2020-06-29,1936904674181,52494917160,5619185051791,1417283079815,9025867722947
2020-06-30,1865725585908,78510735888,7847179847083,1907666538362,11699082707241
2020-07-01,1565436705004,57728869760,7220573396910,1388892971026,10232631942700
2020-07-02,1527222697370,53595887053,7471480868681,1692868751422,10745168204526
2020-07-03,1351816730239,81844997470,6087896282778,1127985789653,8649543800140
2020-07-06,1454733758780,107218857619,8468921811093,1625420308447,11656294735939
2020-07-07,2524471434858,115385911514,9921754762150,2296781278166,14858393386688
2020-07-08,2083160235664,76712086702,7473139007056,1934558042331,11567569371753
2020-07-09,2519641847921,126527230669,7758629783290,1625150676200,12029949538080
2020-07-10,2087623740911,75584189788,8243928155410,1640922227610,12048058313719
2020-07-13,1297037706723,75585426005,7733723914303,1355918574899,10462265621930
2020-07-14,1832713099125,124183944435,8186032536348,1490430595571,11633360175479
2020-07-15,1875310325189,103469998472,9797494232573,1865121842692,13641396398926
2020-07-16,1853949243250,64416238415,7672561851340,1713326700102,11304254033107
2020-07-17,1305533019076,97449634170,7599944054309,1188176215482,10191102923037
2020-07-20,1795439917748,79595938208,8687283449921,1462685082682,12025004388559
2020-07-21,1843843609531,117003152910,12028386982003,1770098892185,15759332636629
2020-07-22,2017645873503,104433907012,11789100641919,1740712097377,15651892519811
2020-07-23,2356237442798,85979275652,11976586574290,1910179498417,16328982791157
2020-07-24,1857139981507,103707866322,13473464139577,1722634674439,17156946661845
2020-07-27,1436806322078,89391464278,11211781700444,1518897624550,14256877111350
2020-07-28,2650339529193,134588412314,12939943471154,1792110567065,17516981979726
2020-07-29,2406980142217,81138962505,11064757754424,1947694850597,15500571709743
2020-07-30,2173443493603,73268190277,9823020741510,1480476913644,13550209339034
2020-07-31,2246321724838,123210221739,8577028607600,2055732675437,13002293229614
2020-08-03,2260651713803,115879986491,9250030990999,1986343428709,13612906120002
2020-08-04,2251808929126,87436809937,11098461732411,1849527820434,15287235291908
2020-08-05,2410235831718,141619056052,13431856017277,1899380378522,17883091283569
2020-08-06,2741548974506,118649655562,13173612852337,1797874142044,17831685624449
2020-08-07,2985840599520,134911140072,12326060797795,2138951935998,17585764473385
2020-08-10,3079402704284,178036203782,14185452892060,2068430083035,19511321883161
2020-08-11,3035388765887,199615947097,14224411546575,2220985958535,19680402218094
2020-08-12,2871307507966,149330072819,11461517284835,2197900652868,16680055518488
2020-08-13,3582961985747,129592746316,11796624840405,2740842994590,18250022567058
2020-08-14,2596070718619,137910062878,11594239840743,2267465740452,16595686362692
2020-08-18,2564209886095,169933923110,12006685739452,2831649901365,17572479450022
