날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,92.51,92.91,91.85,92.44,28227896,117295065753
2020-01-21,92.66,93.52,92.36,92.78,19478778,95827952792
2020-01-22,92.91,93.42,92.52,93.15,14406556,89904485653
2020-01-23,92.64,92.86,91.74,92.26,12106755,115343222376
2020-01-28,90.19,90.61,88.7,89.19,14576116,100634380724
2020-01-29,89.56,90.49,88.82,89.97,17380804,87159374099
2020-01-30,90.11,90.52,88.09,88.23,11257070,93294434429
2020-01-31,88.58,89.23,86.48,86.48,13625249,90516569610
2020-02-03,85.67,86.26,84.22,85.43,18331591,109815903412
2020-02-04,85.69,87.63,85.69,87.04,9588046,80443550263
2020-02-05,87.82,87.86,87.04,87.2,8834296,83559718167
2020-02-06,88.16,90.96,87.95,90.68,11478271,112949566312
2020-02-07,90.73,90.98,89.85,90.39,12566672,109351139792
2020-02-10,89.65,90.15,89.45,89.85,25969117,131279707776
2020-02-11,90.42,91.16,90.32,90.54,11997558,88003518969
2020-02-12,90.63,91.12,90.07,91.12,13826572,101255312320
2020-02-13,90.74,90.94,89.36,89.48,9438548,92173004476
2020-02-14,89.35,89.36,88.11,88.26,7963764,80881017992
2020-02-17,88.3,88.42,87.47,88.31,7815417,66685776535
2020-02-18,88.09,88.25,87.22,87.39,10151840,69606216535
2020-02-19,87.82,87.86,86.18,86.63,8227184,69313899065
2020-02-20,86.99,87.24,85.48,85.48,7802294,84682028928
2020-02-21,84.73,84.75,83.76,83.91,8070073,84338515861
2020-02-24,81.88,82.11,80.15,80.15,10705227,114483190331
2020-02-25,80.28,82.0,80.06,81.92,9405592,91608833076
2020-02-26,80.73,82.73,80.57,82.08,6464283,84485793818
2020-02-27,81.76,82.5,80.23,80.4,9879561,80688081038
2020-02-28,79.01,79.67,77.81,78.51,12194701,130419659050
2020-03-02,78.82,79.19,77.33,78.16,14370496,98666311634
2020-03-03,79.79,80.2,78.5,78.62,9532668,81905778118
2020-03-04,78.62,80.03,78.62,79.65,7687464,68958750078
2020-03-05,80.33,81.93,79.84,81.57,9111324,95210859829
2020-03-06,81.12,81.23,79.06,79.58,11791684,108371685480
2020-03-09,77.71,77.77,75.09,75.39,12407449,129338843697
2020-03-10,74.41,75.76,74.32,75.45,9280345,98767483528
2020-03-11,75.73,75.91,73.23,73.72,8248996,84671580505
2020-03-12,72.98,73.23,68.35,69.28,13806897,154219863400
2020-03-13,65.72,66.78,61.4,65.89,18281258,181039724030
2020-03-16,67.42,67.86,63.87,64.04,12253871,98733807555
2020-03-17,60.47,64.17,60.47,62.66,12711419,105692698219
2020-03-18,63.42,63.48,58.29,58.29,13345344,116667589614
2020-03-19,59.44,59.44,50.79,51.39,23341033,186691722612
2020-03-20,53.05,56.73,51.15,56.73,14927772,122062506488
2020-03-23,53.63,53.74,51.91,52.22,11272516,84176088094
2020-03-24,53.47,56.34,52.65,56.1,12132495,99314189874
2020-03-25,58.25,60.93,57.53,60.53,15170459,144091218692
2020-03-26,60.25,63.29,59.31,61.32,14052784,129482806787
2020-03-27,63.89,64.3,60.37,62.35,14562198,126130686412
2020-03-30,60.35,64.36,60.04,63.95,13067671,115932885507
2020-03-31,65.41,70.66,65.28,67.87,19540895,251228010182
2020-04-01,67.81,69.11,64.74,64.79,14457602,176975459810
2020-04-02,65.51,69.71,64.0,69.16,13954296,280157880866
2020-04-03,69.61,70.08,67.65,69.0,14581964,178196006429
2020-04-06,69.6,71.03,68.98,70.89,11987962,133105129655
2020-04-07,72.58,72.95,70.56,71.93,14476165,183791736991
2020-04-08,71.5,73.88,70.97,72.39,12025581,136500820486
2020-04-09,73.5,73.68,72.63,73.68,10255355,124256234950
2020-04-10,73.56,74.78,72.65,74.38,11151509,111986611007
2020-04-13,74.45,76.46,73.84,74.36,12000779,133021047792
2020-04-14,75.43,77.76,75.23,76.88,21281606,232560864419
2020-04-16,76.53,77.3,74.67,76.6,15793007,164823364769
2020-04-17,77.62,79.09,77.54,78.24,13973866,163651847505
2020-04-20,78.22,81.51,77.92,79.92,42601907,245759823968
2020-04-21,80.36,82.23,76.42,80.62,56537001,427681134940
2020-04-22,79.65,83.45,78.54,83.45,48599261,370993904490
2020-04-23,82.97,83.23,82.14,82.48,21392979,191672812053
2020-04-24,81.84,82.15,79.14,79.78,16065788,165289815576
2020-04-27,80.33,81.39,79.86,81.0,12602362,116730307359
2020-04-28,81.8,82.81,80.61,82.81,13272875,139274027770
2020-04-29,83.24,84.46,82.76,84.0,14269069,188861618931
2020-05-04,83.27,83.55,81.69,81.73,15265101,189829524817
2020-05-06,82.93,83.0,81.98,82.91,10509664,111371797520
2020-05-07,82.89,83.29,82.37,82.61,10101896,99271122298
2020-05-08,83.2,83.69,82.72,82.82,10667965,110814668814
2020-05-11,82.61,82.7,81.59,81.7,10299824,116723303360
2020-05-12,81.78,81.82,79.34,79.94,9223510,113148864126
2020-05-13,78.48,80.18,78.36,80.16,6816620,90400150506
2020-05-14,79.73,79.79,78.37,78.94,8699943,98569341276
2020-05-15,79.58,80.1,78.38,79.55,10568295,138016301499
2020-05-18,80.08,80.3,79.1,79.84,8085866,100659478563
2020-05-19,81.42,82.18,81.34,81.94,10681820,142531940519
2020-05-20,81.48,82.96,81.38,82.62,19895235,160900729109
2020-05-21,82.76,82.93,81.86,82.18,10222145,117667004358
2020-05-22,82.23,82.57,80.77,81.51,20649508,163271818285
2020-05-25,81.61,81.91,80.82,81.59,10135953,90183329583
2020-05-26,81.88,85.43,81.8,84.52,17086463,288741098223
2020-05-27,84.73,86.68,84.73,86.37,14564705,222798464928
2020-05-28,87.11,87.5,82.84,84.47,15385806,230220485736
2020-05-29,83.71,86.67,83.26,86.23,16926262,331254166094
2020-06-01,85.76,87.18,85.65,87.18,11186785,168625053830
2020-06-02,86.98,89.03,86.32,88.72,11251239,216219547847
2020-06-03,89.4,90.75,89.2,90.0,15988522,268257985448
2020-06-04,91.25,91.62,88.41,88.75,10519209,201691831588
2020-06-05,89.05,90.29,88.56,90.29,10567168,134546961495
2020-06-08,91.15,91.15,88.98,89.36,8600875,134807561779
2020-06-09,89.39,90.36,88.19,89.08,15941955,274431095754
2020-06-10,89.18,89.51,88.14,89.12,13656612,185897958256
2020-06-11,88.58,89.06,86.67,87.22,12255091,203669594427
2020-06-12,83.15,84.32,82.89,83.94,12229656,166118505568
2020-06-15,82.93,83.5,78.87,78.87,11989432,151165749706
2020-06-16,80.94,83.0,80.82,82.94,8212383,108297385902
