날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,395.17,398.75,394.49,395.87,27575020,540681077894
2020-01-21,395.38,397.39,393.82,393.96,22329376,476629070862
2020-01-22,394.65,395.75,392.58,394.15,20506926,366648754607
2020-01-23,392.13,393.24,389.94,391.86,23441785,476657905039
2020-01-28,386.56,388.5,376.64,377.93,51840369,613599545774
2020-01-29,377.85,377.91,375.18,376.95,26482813,430262156785
2020-01-30,377.37,379.48,374.73,375.8,34039782,520838923084
2020-01-31,377.88,378.0,372.14,372.14,39173961,503327721558
2020-02-03,370.37,370.89,365.48,369.15,36943604,490990809755
2020-02-04,369.15,371.32,367.39,369.66,34089292,578178812902
2020-02-05,370.99,373.92,370.29,372.77,42435393,630065495012
2020-02-06,376.19,383.21,375.63,382.11,55115247,748319310603
2020-02-07,380.7,381.29,375.67,377.92,30412055,456614659581
2020-02-10,374.08,374.38,370.72,373.47,27503358,430468356591
2020-02-11,374.58,377.67,373.99,376.23,28927137,427473687225
2020-02-12,375.21,379.73,373.64,379.19,35181187,612219014922
2020-02-13,377.95,379.18,375.18,375.41,36911010,641752048070
2020-02-14,374.27,376.07,372.91,373.06,41450662,526159630891
2020-02-17,373.12,373.37,369.49,370.71,38968769,519532889944
2020-02-18,368.38,369.61,366.15,367.18,31518428,445464130536
2020-02-19,369.42,369.5,363.5,365.02,30592659,485590759310
2020-02-20,365.77,367.1,361.51,362.3,34553531,509679854377
2020-02-21,358.63,358.95,356.38,356.59,37245864,481971516412
2020-02-24,351.5,352.3,342.59,342.62,44286283,651411256750
2020-02-25,342.06,348.12,340.81,345.79,36320937,557650149939
2020-02-26,340.78,346.41,339.86,343.3,35489477,577416126132
2020-02-27,342.39,344.36,341.62,343.28,31689382,503373186316
2020-02-28,338.27,339.65,332.6,334.07,61033804,842127674157
2020-03-02,334.34,335.15,329.4,331.53,36942953,551686099564
2020-03-03,335.92,337.1,331.01,331.85,34591920,525724312112
2020-03-04,331.91,336.54,331.59,335.74,38669283,573593076834
2020-03-05,337.22,339.94,335.0,339.03,42775808,571511653807
2020-03-06,334.99,335.49,329.18,330.63,38739341,536350535649
2020-03-09,321.37,321.37,314.44,315.16,49452728,601243809267
2020-03-10,312.9,314.68,311.13,313.21,51782942,621598533805
2020-03-11,313.95,318.38,307.76,309.59,48439698,614631381386
2020-03-12,307.78,307.91,291.34,294.01,73418820,894412454851
2020-03-13,273.8,286.07,267.7,281.08,92630840,964093129799
2020-03-16,285.42,285.52,272.38,272.56,55134517,590901326433
2020-03-17,258.47,266.99,256.99,258.87,70950982,693875723490
2020-03-18,258.95,258.95,245.67,245.67,63205628,670990549016
2020-03-19,248.95,249.27,219.35,220.2,100396941,825999154849
2020-03-20,226.32,237.84,217.39,237.84,95858890,798541559307
2020-03-23,222.89,228.08,217.92,222.04,71148471,620892438744
2020-03-24,226.4,242.22,223.63,240.44,76501040,706975130857
2020-03-25,250.29,269.01,249.95,267.57,117080802,1057902495112
2020-03-26,267.07,276.96,263.16,267.33,120207776,1078063880062
2020-03-27,280.58,282.73,268.94,277.17,86455750,864654247737
2020-03-30,267.96,278.37,264.64,275.64,56090558,632673039945
2020-03-31,279.39,284.29,276.81,282.08,66814531,734650396188
2020-04-01,277.85,282.99,268.4,268.4,60413238,688005597824
2020-04-02,269.1,275.96,263.35,275.09,52011108,639148827286
2020-04-03,274.72,277.45,270.15,273.44,49003753,544365989001
2020-04-06,276.28,284.24,275.51,283.87,54561516,567489189538
2020-04-07,288.62,292.26,282.93,288.3,71253957,734851024713
2020-04-08,286.17,290.79,282.21,284.75,63834341,712158249890
2020-04-09,289.69,289.98,285.82,289.14,59996810,595649348643
2020-04-10,290.41,299.92,289.2,299.23,174769944,1078358641443
2020-04-13,298.79,302.01,294.02,294.17,97031758,711488379903
2020-04-14,296.71,299.94,295.23,299.51,54962486,547492349561
2020-04-16,294.36,296.28,290.12,295.62,62425679,858951263301
