날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,1259.61,1265.28,1250.9,1253.08,100362448,478506887411
2020-01-21,1253.47,1258.43,1236.68,1238.19,81673918,416235244822
2020-01-22,1247.11,1258.64,1246.29,1254.03,32890598,388008146926
2020-01-23,1250.09,1252.88,1240.18,1247.15,27066791,375812985160
2020-01-28,1226.74,1233.33,1208.26,1212.42,40483037,538525793761
2020-01-29,1223.64,1226.43,1212.05,1222.01,131223612,501060481132
2020-01-30,1219.56,1231.25,1210.34,1219.11,119610983,569213015305
2020-01-31,1222.07,1223.32,1201.44,1202.74,50580221,488219680971
2020-02-03,1191.57,1206.35,1188.11,1197.78,31210883,490763273069
2020-02-04,1199.09,1217.49,1193.68,1214.82,83061947,493663564539
2020-02-05,1218.98,1221.45,1207.15,1214.18,42426104,468106102599
2020-02-06,1223.97,1239.86,1221.75,1235.51,36153868,502817867028
2020-02-07,1234.51,1249.36,1232.46,1238.09,47813813,2181717186226
2020-02-10,1226.33,1231.05,1218.59,1230.68,23531210,402194154529
2020-02-11,1235.76,1238.55,1231.61,1236.73,31957338,415324347427
2020-02-12,1231.13,1243.77,1228.84,1243.11,16062713,486969417670
2020-02-13,1241.58,1248.22,1234.27,1237.43,19362667,788159618310
2020-02-14,1237.5,1254.65,1237.5,1250.43,16242195,624672081756
2020-02-17,1250.39,1251.46,1232.37,1241.75,15709405,456987712366
2020-02-18,1235.83,1243.53,1231.3,1234.16,16615182,457068179687
2020-02-19,1241.85,1254.3,1230.77,1249.33,17919786,713610751650
2020-02-20,1254.54,1256.57,1235.71,1240.73,14866157,503612549136
2020-02-21,1227.06,1240.31,1224.43,1225.93,34751120,616246178632
2020-02-24,1203.09,1208.42,1185.0,1185.64,28483342,643113655421
2020-02-25,1184.39,1205.66,1179.27,1205.66,19106752,554114230475
2020-02-26,1190.68,1197.21,1185.74,1192.17,20010071,510110790886
2020-02-27,1188.47,1192.91,1160.63,1166.47,19158473,542006805544
2020-02-28,1143.22,1154.24,1122.11,1129.52,26704826,756518129436
2020-03-02,1134.75,1148.22,1122.32,1141.14,28848945,603910619702
2020-03-03,1168.71,1170.44,1144.57,1147.07,20569331,551193390148
2020-03-04,1150.82,1187.47,1150.82,1183.42,43201590,577977896622
2020-03-05,1194.74,1196.17,1184.82,1195.72,33061096,612880817530
2020-03-06,1181.03,1186.18,1170.15,1177.93,17532338,436337406225
2020-03-09,1144.75,1148.1,1125.94,1128.55,21862439,587038808175
2020-03-10,1120.1,1146.21,1116.77,1139.83,20395836,602434087198
2020-03-11,1141.81,1144.09,1106.43,1117.26,29806192,538471644350
2020-03-12,1109.9,1114.46,1059.91,1075.65,50032936,893358684887
2020-03-13,1002.65,1066.83,979.68,1053.24,50938496,1107345125922
2020-03-16,1068.99,1068.99,1006.73,1007.08,28023977,729521756157
2020-03-17,963.63,1006.99,963.63,986.62,43598694,843558594235
2020-03-18,998.67,1004.8,947.1,947.1,39501535,726959361510
2020-03-19,972.5,972.5,870.9,898.99,50559588,1099652194085
2020-03-20,925.93,958.75,902.16,956.87,35124885,850944326845
2020-03-23,900.49,929.09,890.68,906.66,26935157,733160901575
2020-03-24,934.83,979.46,928.57,979.46,33393395,796527751883
2020-03-25,1007.44,1022.67,982.81,1007.62,39517092,906884496514
2020-03-26,1001.79,1022.6,992.18,994.09,44203162,831701854895
2020-03-27,1032.32,1034.59,993.7,1020.62,38766171,820185046382
2020-03-30,996.65,1032.3,992.79,1025.65,49468075,635692110929
2020-03-31,1036.0,1055.47,1033.09,1050.36,57090245,908993036776
2020-04-01,1041.83,1061.71,1013.37,1014.38,48207817,947250572223
2020-04-02,1028.52,1062.57,1014.04,1056.96,37367210,854653496478
2020-04-03,1053.07,1057.38,1038.16,1051.74,60903140,659113191653
2020-04-06,1064.08,1087.5,1062.65,1086.92,84458865,885578029336
2020-04-07,1097.38,1104.86,1075.82,1091.59,77852520,1024417255118
2020-04-08,1088.12,1096.01,1080.41,1081.75,69542814,876021782076
2020-04-09,1096.13,1096.14,1083.05,1091.88,49990424,831730578681
2020-04-10,1090.02,1095.79,1078.11,1094.51,68318819,806078397116
2020-04-13,1090.81,1093.01,1076.08,1078.03,46807653,538513692608
2020-04-14,1089.66,1096.82,1082.99,1092.97,40088865,518449928928
2020-04-16,1088.16,1113.2,1085.07,1106.95,40918358,834002101500
2020-04-17,1121.45,1139.0,1119.49,1134.66,38788467,855705652516
2020-04-20,1137.52,1152.42,1130.95,1135.66,31592148,722586465899
2020-04-21,1134.85,1137.8,1093.53,1126.4,53413441,859972048942
2020-04-22,1109.11,1141.39,1101.88,1141.36,25596335,603973098597
2020-04-23,1153.41,1175.57,1152.06,1161.17,44406449,1021432895450
2020-04-24,1155.59,1169.89,1141.58,1149.6,30439158,729351880164
2020-04-27,1154.49,1167.31,1149.37,1160.9,24766670,751378039862
2020-04-28,1167.0,1173.99,1155.86,1173.98,40539594,749643141273
2020-04-29,1176.82,1182.0,1172.23,1176.98,53556714,844337527591
2020-05-04,1155.03,1180.26,1150.08,1163.85,38042704,831657707415
2020-05-06,1179.09,1211.36,1176.33,1210.88,29949501,1003392321278
2020-05-07,1213.81,1243.86,1211.4,1240.29,52011372,1474854174871
2020-05-08,1251.43,1261.54,1244.27,1247.95,33395558,1070467844156
2020-05-11,1257.67,1278.96,1256.36,1263.7,33431116,969215592238
2020-05-12,1272.21,1295.71,1252.28,1280.61,51691493,1413149961498
2020-05-13,1266.63,1283.44,1265.22,1279.04,27984177,1093987762873
2020-05-14,1265.09,1288.72,1262.19,1280.52,24984798,1148514615780
2020-05-15,1288.0,1288.45,1253.39,1266.97,28129954,1019428154876
2020-05-18,1270.61,1275.09,1257.01,1261.79,20977412,689152992844
2020-05-19,1271.39,1274.44,1256.34,1268.56,37470393,1040780362333
2020-05-20,1277.02,1307.35,1277.02,1300.26,30972094,1027552388940
2020-05-21,1313.11,1324.44,1309.9,1319.75,25090743,1039894649165
2020-05-22,1318.84,1335.38,1313.06,1327.42,24455987,1073000262901
2020-05-25,1344.25,1378.76,1339.06,1378.72,22996076,1340889378111
2020-05-26,1389.99,1401.2,1355.02,1385.76,28483071,1745032710793
2020-05-27,1366.35,1373.89,1350.43,1363.0,42958484,1397045135532
2020-05-28,1352.61,1380.38,1341.77,1376.24,47083625,1706240317188
2020-05-29,1373.63,1381.59,1351.26,1353.58,33526267,1884886510521
2020-06-01,1366.88,1383.71,1361.04,1383.32,24054327,914948426752
2020-06-02,1376.43,1381.89,1372.26,1378.44,41069537,874686702897
2020-06-03,1385.78,1388.03,1351.34,1354.12,42397562,1607804967385
2020-06-04,1361.13,1379.43,1357.03,1367.31,31584284,1157547466700
2020-06-05,1362.13,1365.03,1345.96,1364.92,22396737,959675468299
2020-06-08,1377.17,1388.52,1360.51,1381.77,30531630,1239487673944
2020-06-09,1387.57,1394.41,1368.18,1377.21,32557851,931341303726
2020-06-10,1390.97,1410.09,1390.18,1403.85,25935437,1308345706733
2020-06-11,1399.83,1414.09,1385.23,1395.94,35018479,1411857447212
2020-06-12,1346.44,1386.88,1344.28,1382.59,29971331,1269943665987
2020-06-15,1370.9,1386.75,1318.51,1318.51,34873926,1273714821764
2020-06-16,1352.41,1390.09,1347.88,1389.96,25312403,1016967887366
2020-06-17,1391.53,1404.05,1370.83,1398.18,34770156,1102461020133
2020-06-18,1397.12,1401.4,1382.21,1385.94,33257471,956331230731
2020-06-19,1400.54,1400.54,1373.44,1391.01,58245165,945758360024
2020-06-22,1384.78,1437.43,1377.83,1432.46,23681412,1394051888673
2020-06-23,1450.2,1497.02,1444.8,1463.63,49720122,1853110905357
2020-06-24,1465.2,1476.17,1449.81,1475.15,34152487,1009936981493
2020-06-25,1454.8,1459.09,1430.33,1430.33,20149150,942326801063
2020-06-26,1444.63,1445.24,1409.35,1429.6,18912022,773082356862
2020-06-29,1406.82,1427.14,1395.36,1399.95,28955131,750766648248
2020-06-30,1417.36,1428.74,1403.39,1414.2,65517842,944248194965
2020-07-01,1429.02,1436.26,1411.22,1417.04,72024874,804355206237
2020-07-02,1435.25,1474.35,1429.82,1474.35,56587827,1526314053419
2020-07-03,1477.83,1511.23,1477.57,1507.72,92779070,1482295541545
2020-07-06,1516.02,1581.36,1516.02,1571.72,40369416,2883495835197
2020-07-07,1572.93,1617.7,1570.16,1572.79,46918056,3880769574907
2020-07-08,1572.74,1593.34,1548.36,1590.37,46358970,2762576259369
2020-07-09,1601.73,1625.42,1596.84,1610.31,25713109,2272305924026
2020-07-10,1605.92,1653.93,1605.66,1626.03,33311274,2462897811343
2020-07-13,1643.43,1643.72,1603.31,1631.62,31109947,1542681933883
2020-07-14,1607.62,1613.81,1590.77,1601.92,29843101,1503106336371
2020-07-15,1614.73,1620.91,1574.75,1581.43,32767543,1719479948058
2020-07-16,1571.62,1581.8,1536.69,1542.17,43950407,2182710624615
2020-07-17,1536.88,1566.24,1535.96,1559.04,30854539,1256599740603
2020-07-20,1566.19,1566.19,1515.51,1530.19,29956296,1517274304883
2020-07-21,1555.45,1562.5,1540.63,1546.09,31046555,1591203433574
2020-07-22,1533.32,1550.24,1525.75,1542.42,28332769,1584419648538
2020-07-23,1540.26,1557.76,1539.76,1552.88,26140584,1539570896253
2020-07-24,1536.06,1561.8,1529.48,1538.04,27670745,1295454165423
2020-07-27,1543.43,1559.51,1534.82,1547.4,22833563,975744822576
2020-07-28,1561.3,1573.29,1550.54,1558.84,31974895,1262835622635
2020-07-29,1552.74,1573.94,1545.46,1573.61,43548457,1288375566370
