날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,1532.02,1534.18,1519.81,1520.84,65566193,382286733389
2020-01-21,1520.97,1520.97,1503.62,1506.53,33357125,318439316621
2020-01-22,1515.21,1556.77,1509.56,1556.03,36619617,648540864514
2020-01-23,1577.22,1583.78,1561.18,1577.71,31427819,763142854901
2020-01-28,1539.87,1556.59,1534.32,1543.46,40984948,683267795026
2020-01-29,1547.31,1547.31,1520.41,1535.82,43549728,572644086129
2020-01-30,1531.67,1537.35,1502.56,1507.63,70287593,825790157138
2020-01-31,1513.71,1520.67,1470.53,1470.53,30583815,480778744064
2020-02-03,1439.87,1462.92,1422.82,1454.18,31111205,530272912993
2020-02-04,1461.18,1472.79,1455.07,1462.86,47412865,563675764917
2020-02-05,1469.14,1469.14,1448.43,1449.14,38739256,470579287485
2020-02-06,1463.78,1532.95,1463.78,1527.58,34002905,652242952079
2020-02-07,1512.88,1517.51,1493.33,1507.14,97785097,548406164815
2020-02-10,1488.43,1512.14,1485.06,1502.87,48239273,354031392613
2020-02-11,1512.73,1546.64,1511.75,1531.18,76411669,556729915728
2020-02-12,1532.04,1560.38,1532.04,1554.53,87449758,558257104018
2020-02-13,1552.96,1558.51,1524.72,1526.62,93370271,464064112115
2020-02-14,1514.44,1542.72,1510.27,1527.9,38415355,429711537041
2020-02-17,1523.47,1539.72,1517.98,1535.0,27987334,266223641373
2020-02-18,1525.81,1532.93,1509.91,1516.12,20911430,324208619554
2020-02-19,1526.69,1530.07,1501.13,1509.87,49704475,393223041688
2020-02-20,1516.13,1517.09,1484.97,1488.57,28569421,334689725615
2020-02-21,1470.56,1480.52,1459.17,1463.74,19442457,303922170199
2020-02-24,1425.33,1433.9,1397.59,1398.12,24411383,404659652535
2020-02-25,1397.04,1425.3,1396.8,1407.78,24256325,403764656996
2020-02-26,1382.78,1414.12,1380.16,1403.07,16178378,347468436237
2020-02-27,1400.89,1406.5,1383.18,1389.38,19496142,289589364030
2020-02-28,1356.86,1364.58,1322.55,1330.18,26136581,535936130835
