날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,375.73,378.64,372.78,374.59,38245255,489722607411
2020-01-21,373.49,375.26,369.65,370.4,71253726,531466283243
2020-01-22,369.85,375.18,369.23,374.56,45163990,407668367117
2020-01-23,373.78,378.48,372.19,376.6,27727970,457828292718
2020-01-28,366.43,367.53,356.62,357.95,46617197,668302492100
2020-01-29,359.91,362.45,355.51,361.3,43171434,436618598407
2020-01-30,361.69,363.04,352.42,354.73,41226087,349398426753
2020-01-31,356.25,357.74,349.51,350.09,45745494,359959456990
2020-02-03,343.04,350.57,341.96,348.65,36583974,434240538578
2020-02-04,347.87,354.0,346.93,353.17,28032901,336415513378
2020-02-05,353.62,355.1,351.4,352.33,28462276,325850451177
2020-02-06,356.74,365.3,356.45,364.03,43121394,434268602587
2020-02-07,363.66,364.48,360.71,362.14,42471274,367330701859
2020-02-10,359.52,363.1,357.53,362.31,26090005,258169463166
2020-02-11,364.61,369.69,364.61,367.5,43410618,374935017348
2020-02-12,366.9,372.26,365.5,371.59,139375119,615752638165
2020-02-13,371.52,374.09,367.72,368.68,91209772,553503837069
2020-02-14,367.68,369.75,366.45,367.93,127470675,339338592326
2020-02-17,369.65,370.29,365.93,368.95,49634654,305147181600
2020-02-18,366.68,367.91,361.53,362.56,38446758,299130876025
2020-02-19,364.82,365.49,358.07,360.3,52619297,276367219377
2020-02-20,361.11,361.37,352.62,352.81,45293305,349269993213
2020-02-21,348.15,351.97,345.57,346.33,38592522,324196174406
2020-02-24,337.89,339.38,332.71,332.71,55374206,446803036019
2020-02-25,334.99,341.11,332.52,339.49,34454893,349069688711
2020-02-26,335.27,340.88,334.5,337.52,66271039,400456842700
2020-02-27,340.01,342.2,333.51,334.77,68200432,378657441002
2020-02-28,329.7,330.92,322.63,324.4,52875747,437729237336
2020-03-02,326.47,328.69,320.69,326.11,33469795,297894546950
2020-03-03,332.46,333.68,326.87,328.06,42471312,301417691804
2020-03-04,328.64,336.41,328.64,335.15,34108789,289149144808
2020-03-05,339.39,343.51,335.97,343.25,87138619,515163647356
2020-03-06,338.94,339.93,333.03,334.39,124549283,510576907268
2020-03-09,325.16,326.99,319.7,322.2,72320421,421604150678
2020-03-10,319.58,324.21,318.07,322.68,46617591,359047945872
2020-03-11,324.08,325.29,314.82,316.62,38040528,287930867287
2020-03-12,316.53,317.33,298.44,302.03,57090318,512108121744
2020-03-13,282.85,291.38,273.52,288.5,76799475,578513638570
2020-03-16,294.45,294.45,280.84,281.53,58843986,339769186215
2020-03-17,269.72,284.56,269.51,280.68,51797673,358306330716
2020-03-18,281.99,283.1,265.55,265.55,58463529,406456402947
2020-03-19,271.83,272.08,237.42,239.98,81509312,475975122707
2020-03-20,246.86,254.75,237.34,254.75,62283963,372623437144
2020-03-23,238.8,242.19,233.5,235.95,42711888,270695190726
2020-03-24,240.39,254.2,237.49,254.2,51938394,328753164961
2020-03-25,261.18,272.12,259.37,272.12,54232159,458412094333
2020-03-26,269.82,278.73,268.48,270.84,68077525,436009891616
2020-03-27,281.24,281.83,266.13,273.65,58140234,402865746023
