날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,3534.71,3551.35,3494.72,3496.19,11017459,83422363534
2020-01-21,3502.08,3515.2,3481.73,3486.48,10817286,62047706647
2020-01-22,3493.45,3516.85,3477.5,3501.86,9369727,56624723190
2020-01-23,3482.84,3486.87,3463.87,3477.3,5881988,50731600375
2020-01-28,3417.01,3427.97,3356.73,3366.48,20939649,118594152164
2020-01-29,3382.03,3394.37,3338.22,3375.35,11741190,81061284591
2020-01-30,3375.95,3394.62,3324.34,3330.29,10358041,55735380598
2020-01-31,3341.51,3361.74,3295.05,3295.05,13902461,81110528873
2020-02-03,3274.18,3327.42,3248.37,3319.75,164113753,247901415841
2020-02-04,3308.27,3341.3,3296.12,3310.42,40466769,94663614950
2020-02-05,3321.45,3342.98,3304.28,3319.99,33566187,124797374844
2020-02-06,3364.68,3419.15,3359.84,3401.76,12969734,99863961154
2020-02-07,3405.48,3419.03,3363.01,3377.35,34216636,128325381379
2020-02-10,3357.66,3382.42,3330.74,3371.69,142367877,213772694683
2020-02-11,3412.37,3435.5,3407.15,3428.7,22751520,113189753389
2020-02-12,3447.94,3487.7,3435.07,3486.07,20783039,143207860792
2020-02-13,3506.57,3527.98,3485.65,3494.45,19918476,160580557697
2020-02-14,3492.12,3506.78,3472.6,3487.08,54810761,227910015910
2020-02-17,3493.1,3522.48,3474.7,3502.0,22568185,107635129426
2020-02-18,3477.15,3477.15,3438.56,3450.55,14597109,75180476331
2020-02-19,3471.34,3502.48,3451.88,3495.25,14348359,118119119322
2020-02-20,3489.51,3495.38,3435.54,3440.51,59256020,178391952178
2020-02-21,3420.88,3445.9,3404.02,3406.47,29203923,132505539395
2020-02-24,3414.71,3436.92,3336.78,3338.99,218619381,539423455880
2020-02-25,3367.22,3373.25,3319.6,3355.26,1013703172,1033221457660
2020-02-26,3354.98,3379.3,3325.03,3344.25,289877454,331006841089
2020-02-27,3334.54,3346.52,3281.91,3295.29,55536313,150642099760
2020-02-28,3255.34,3259.41,3161.08,3178.68,58093112,248712578356
2020-03-02,3196.99,3215.47,3142.51,3191.31,54552388,208930329772
2020-03-03,3232.03,3241.51,3185.38,3189.77,80002625,139764145922
2020-03-04,3212.86,3294.28,3204.3,3288.72,55111711,134555871284
2020-03-05,3294.62,3328.86,3272.68,3327.32,53795578,120016662613
2020-03-06,3288.54,3306.39,3269.93,3306.39,68325637,131591627169
2020-03-09,3244.17,3276.3,3206.54,3219.75,37955814,113128582737
2020-03-10,3191.44,3215.92,3168.53,3212.25,45866972,185701258511
2020-03-11,3214.56,3214.56,3127.76,3145.39,109417342,211382637969
2020-03-12,3148.98,3158.17,2996.29,3023.03,48435410,194387057836
2020-03-13,2843.93,2947.15,2753.24,2892.28,67964620,177418931546
2020-03-16,2968.83,3007.02,2893.72,2902.31,57442369,168090680808
2020-03-17,2821.57,2952.26,2807.44,2894.56,44142479,122143971658
2020-03-18,2904.56,2926.06,2804.64,2804.8,45639194,153590363625
2020-03-19,2844.76,2851.01,2507.7,2509.56,63383707,172819666805
2020-03-20,2574.76,2686.02,2506.37,2686.02,43070330,131638940178
2020-03-23,2535.13,2568.48,2473.15,2507.68,61339643,112962862593
2020-03-24,2542.48,2653.45,2524.26,2642.99,57202640,118384507002
2020-03-25,2712.46,2797.4,2703.38,2790.75,42502402,153411915497
2020-03-26,2786.1,2905.58,2774.95,2826.64,51557714,147993823392
2020-03-27,2930.72,2945.14,2810.29,2879.0,60634369,183692212056
2020-03-30,2823.96,2955.23,2810.06,2946.59,53258919,137753404027
2020-03-31,2997.15,3068.69,2982.98,3050.78,106968207,201634497074
2020-04-01,3065.66,3229.78,3065.19,3083.02,406056202,480283114775
2020-04-02,3108.35,3167.45,3066.15,3153.41,121430568,357072835472
2020-04-03,3158.53,3205.99,3139.63,3205.41,72399454,227803491139
2020-04-06,3270.88,3384.81,3270.24,3355.44,227136525,334522325339
2020-04-07,3407.77,3423.51,3308.6,3368.4,93040316,290311051452
2020-04-08,3373.38,3411.43,3326.18,3350.32,52643783,178470220585
2020-04-09,3384.37,3388.69,3268.71,3310.92,108450520,288493720424
2020-04-10,3301.44,3301.44,3213.26,3268.61,53914606,183060837442
2020-04-13,3260.41,3299.65,3236.7,3265.8,261033529,456434305891
2020-04-14,3288.35,3351.35,3280.86,3331.67,72811055,214157855592
2020-04-16,3316.65,3357.3,3267.02,3339.38,33977413,135780559247
2020-04-17,3355.5,3373.82,3324.52,3331.04,44103989,150103123712
2020-04-20,3334.64,3353.86,3308.29,3308.29,42204826,121885794362
2020-04-21,3305.33,3312.25,3186.09,3263.68,55986520,139941767125
2020-04-22,3231.93,3323.05,3204.9,3319.97,30715955,116539252160
2020-04-23,3332.51,3434.74,3325.74,3430.02,44397171,185330760427
2020-04-24,3426.56,3535.39,3392.67,3477.11,38479161,233119321983
2020-04-27,3516.08,3593.08,3502.68,3565.16,52288058,240258710770
2020-04-28,3574.69,3602.62,3522.76,3565.85,70318641,292467680417
2020-04-29,3566.17,3597.9,3547.36,3580.69,193246992,383250399944
2020-05-04,3532.01,3620.42,3484.9,3573.21,97719377,272284905472
2020-05-06,3620.05,3690.49,3600.01,3682.02,267522647,503107322986
2020-05-07,3697.48,3738.16,3680.79,3700.73,154155019,235363763329
2020-05-08,3722.06,3737.36,3655.84,3671.52,59743409,191819886912
2020-05-11,3677.16,3680.97,3647.88,3667.72,36160001,128574567469
2020-05-12,3678.0,3747.06,3665.63,3729.66,34698298,190426013736
2020-05-13,3707.24,3788.21,3701.38,3788.21,39893251,167414360304
2020-05-14,3763.99,3839.56,3740.29,3839.56,27883683,190597927986
2020-05-15,3907.79,3963.68,3890.98,3953.32,63709975,446962452823
2020-05-18,4008.69,4089.21,3912.54,3919.33,39841308,409803685885
2020-05-19,3914.87,3914.87,3810.82,3831.29,26865954,305048673063
2020-05-20,3871.51,3911.59,3870.98,3876.7,29972637,213471607756
2020-05-21,3876.3,3897.31,3844.59,3889.27,21883411,195498099314
2020-05-22,3904.03,3933.06,3857.21,3893.62,30672456,220308929712
2020-05-25,3915.23,3951.56,3852.41,3948.01,24233233,159332758936
2020-05-26,3949.73,3950.07,3885.52,3894.28,17988793,134354788821
2020-05-27,3898.48,3919.72,3885.96,3893.46,16200340,162554107327
2020-05-28,3878.42,3886.53,3826.61,3840.96,114390909,697141334459
2020-05-29,3848.59,3884.58,3829.5,3829.5,79317511,427336332858
2020-06-01,3824.77,3913.64,3821.58,3910.69,42469541,270260911532
2020-06-02,3908.25,3940.25,3895.12,3920.18,60076378,255406679761
2020-06-03,3932.56,3947.31,3852.57,3876.41,29636866,206372105533
2020-06-04,3876.01,3903.24,3842.61,3863.63,24912149,184204362531
2020-06-05,3863.46,3884.47,3840.85,3878.59,21108503,124124589440
2020-06-08,3903.23,3905.8,3847.12,3862.15,26362629,169507641332
2020-06-09,3879.24,3894.68,3844.44,3889.87,27214902,220203963443
2020-06-10,3900.79,4004.15,3897.58,4001.29,17928156,255541470187
2020-06-11,3978.72,4025.53,3941.53,3969.87,21933647,305667964131
2020-06-12,3840.17,4036.69,3817.33,4010.52,26027059,300023167839
2020-06-15,3992.51,4100.19,3874.25,3875.58,30000228,414940366329
2020-06-16,3987.43,4044.43,3976.83,4033.31,21951042,285806670167
2020-06-17,4044.77,4139.35,4040.74,4101.81,41469746,305876889653
2020-06-18,4093.32,4106.59,4057.55,4075.84,36812637,296848907286
2020-06-19,4108.44,4109.29,4025.36,4067.69,22377457,238830608776
2020-06-22,4066.31,4076.54,4036.0,4065.04,90146317,248993920315
2020-06-23,4083.64,4146.17,4043.07,4128.68,27353889,259549911160
2020-06-24,4158.18,4180.41,4106.53,4133.56,16106242,173768367291
2020-06-25,4087.79,4124.88,4061.01,4070.75,30023136,218920707053
2020-06-26,4097.03,4101.64,4046.49,4076.45,20640671,164967493268
2020-06-29,4030.06,4061.61,4005.48,4012.96,11663940,133261604072
2020-06-30,4036.94,4042.94,3987.77,3991.31,29622819,159227919838
2020-07-01,4017.09,4055.47,4008.27,4019.05,41456526,182668953660
2020-07-02,4046.13,4107.19,4042.68,4097.3,41473452,255346667835
2020-07-03,4107.33,4142.46,4084.02,4118.21,37304809,152871779335
2020-07-06,4134.42,4192.27,4107.84,4181.85,15683982,127642441181
2020-07-07,4175.52,4227.06,4151.03,4209.49,13911153,190261362568
2020-07-08,4212.19,4252.28,4174.59,4187.37,16417503,151754748875
2020-07-09,4196.79,4291.3,4193.84,4269.07,12545391,193219390618
2020-07-10,4271.21,4308.08,4234.4,4292.17,108340107,286253232516
2020-07-13,4320.22,4326.9,4279.26,4326.9,33357517,195350557169
2020-07-14,4313.31,4373.85,4277.07,4314.9,119140930,389721486396
2020-07-15,4356.3,4361.86,4221.71,4232.49,57233718,246023333464
2020-07-16,4229.91,4258.65,4167.31,4197.9,52427591,233930114260
2020-07-17,4198.15,4225.3,4149.35,4174.35,19082670,140674009944
2020-07-20,4170.73,4172.02,4106.41,4149.26,18458271,192712623032
2020-07-21,4179.95,4213.27,4161.41,4192.2,15964626,182905779657
2020-07-22,4190.97,4207.99,4147.3,4162.45,15770076,247237075421
2020-07-23,4181.05,4181.05,4122.39,4150.02,16770888,173766423993
2020-07-24,4122.79,4143.63,4098.2,4116.79,19939896,155109254476
2020-07-27,4124.9,4160.78,4116.98,4135.85,30417622,247539047342
2020-07-28,4126.08,4144.24,4095.06,4117.46,18428379,142797778543
2020-07-29,4104.67,4129.43,4083.52,4124.84,13247640,133037325568
2020-07-30,4121.75,4136.08,4098.21,4103.88,11288987,155161841677
2020-07-31,4108.6,4161.35,4083.21,4151.47,27904474,186797259847
2020-08-03,4190.83,4266.12,4165.41,4262.61,14425291,263945506812
2020-08-04,4288.16,4304.15,4243.75,4294.35,14495311,191517481758
2020-08-05,4287.49,4335.25,4282.24,4324.78,11427194,185600926516
2020-08-06,4333.07,4351.5,4290.75,4322.8,15124716,181811429365
2020-08-07,4324.11,4389.51,4322.18,4370.83,16706282,211657685138
2020-08-10,4380.14,4403.62,4356.24,4384.86,13885650,177623283627
2020-08-11,4375.68,4433.56,4330.86,4433.56,10763215,237889394528
2020-08-12,4420.96,4517.36,4379.29,4422.51,14992671,331611729281
2020-08-13,4445.65,4486.31,4387.5,4463.61,23100588,277683830023
2020-08-14,4468.44,4524.34,4383.21,4390.48,70404532,506318926054
2020-08-18,4425.28,4452.09,4258.38,4266.77,26305342,366080339077
2020-08-19,4276.56,4334.29,4275.53,4295.0,24383972,243862068444
2020-08-20,4268.26,4342.39,4207.57,4223.15,36982555,376001676883
2020-08-21,4236.02,4246.01,4175.82,4196.41,26448845,245668628473
2020-08-24,4234.66,4250.31,4177.89,4246.94,25239654,190294171367
2020-08-25,4268.09,4279.29,4235.98,4277.87,20146821,179466279481
2020-08-26,4262.31,4265.28,4194.42,4235.14,49919492,323774443121
2020-08-27,4222.43,4237.15,4183.43,4225.92,67811840,325163049014
2020-08-28,4248.65,4259.04,4191.49,4235.12,137952789,640148260308
2020-08-31,4262.18,4292.05,4201.56,4206.7,722082764,869576365940
2020-09-01,4200.88,4200.88,4153.06,4188.12,99996925,281942099535
2020-09-02,4217.9,4219.88,4153.34,4180.04,44369985,175113676061
2020-09-03,4178.1,4198.26,4162.94,4168.22,35952876,168617291327
2020-09-04,4102.39,4112.28,4085.34,4105.19,37886102,204788946042
2020-09-07,4107.61,4112.03,4064.19,4075.34,28550445,179002032832
2020-09-08,4092.71,4160.03,4092.17,4116.15,19805092,168852221459
2020-09-09,4099.61,4122.04,4033.98,4043.6,16047152,158783509586
2020-09-10,4074.83,4152.78,4071.8,4134.51,29389388,237250249329
2020-09-11,4139.05,4173.21,4110.55,4150.59,12518491,123458385730
2020-09-14,4131.16,4142.12,4097.75,4129.24,14334818,124354231982
2020-09-15,4111.28,4147.02,4100.38,4140.98,15760343,123316610275
2020-09-16,4134.71,4178.98,4125.84,4132.87,16151141,118710435627
2020-09-17,4139.71,4177.07,4121.81,4126.27,16664300,146508136004
2020-09-18,4136.2,4163.63,4118.78,4141.86,11847780,121833975870
2020-09-21,4147.88,4155.92,4082.04,4093.28,68933334,154648026976
2020-09-22,4094.91,4094.91,3947.08,3962.61,29248099,130389040010
2020-09-23,3976.67,3984.84,3911.57,3953.92,16597357,106078614669
2020-09-24,3905.14,3911.06,3856.34,3857.26,16187060,120782765532
2020-09-25,3884.27,3899.7,3845.57,3859.99,24527109,183420767740
2020-09-28,3902.08,3969.79,3894.79,3964.31,9295159,87469378187
2020-09-29,3984.09,3988.75,3950.8,3962.3,12265256,98954236135
2020-10-05,3990.69,4013.58,3959.64,4006.5,11953279,126932803666
2020-10-06,4021.06,4100.14,4020.63,4064.42,13172115,155029270444
2020-10-07,4046.23,4058.89,4015.59,4031.0,9661203,102362748989
2020-10-08,4057.34,4060.59,4018.39,4024.18,11841672,133422339245
2020-10-12,4055.96,4059.28,4017.0,4027.07,42642604,176625358109
2020-10-13,4043.76,4043.76,3975.21,3997.79,12007100,100711274948
2020-10-14,3995.25,4003.33,3945.17,3955.03,10431813,100874339312
2020-10-15,3941.02,3961.84,3917.21,3941.3,23094867,132452115386
2020-10-16,3964.48,3967.21,3894.86,3903.68,51664126,288708456232
2020-10-19,3920.42,3953.78,3913.72,3914.61,17468733,169545301896
2020-10-20,3901.26,3929.8,3869.43,3913.12,41090313,246704500519
2020-10-21,3913.65,3942.06,3905.2,3930.32,21981319,162676695732
2020-10-22,3914.2,3916.93,3875.91,3903.53,110793163,603306386094
2020-10-23,3912.3,3912.3,3848.41,3862.34,85777617,603946498013
2020-10-26,3846.48,3849.31,3759.74,3766.94,19072707,139429395458
2020-10-27,3731.64,3759.43,3706.49,3717.97,13451223,126006455849
2020-10-28,3698.02,3742.94,3698.02,3742.94,12713232,98750986204
2020-10-29,3700.13,3729.36,3690.25,3724.58,11456067,94883100851
2020-10-30,3708.29,3710.76,3626.0,3632.83,13202649,118343528157
2020-11-02,3655.36,3676.32,3637.02,3654.5,19230219,132949251476
2020-11-03,3660.63,3707.01,3660.42,3693.88,18898969,136552864397
2020-11-04,3727.24,3828.54,3722.5,3815.09,14778693,177393552733
2020-11-05,3813.05,3849.56,3797.27,3849.56,14641321,144964337722
2020-11-06,3852.58,3862.92,3809.29,3819.97,21628168,105831889493
2020-11-09,3840.29,3895.0,3836.09,3869.17,19089659,120341483470
2020-11-10,3863.35,3863.35,3804.44,3809.82,12154480,128076259429
2020-11-11,3822.99,3830.53,3763.67,3799.67,25128487,187480420932
2020-11-12,3817.09,3817.09,3790.93,3800.38,23379683,182450749283
2020-11-13,3786.82,3797.21,3748.01,3758.4,15670255,158379519424
2020-11-16,3766.51,3801.53,3766.51,3777.06,22140251,198900904081
2020-11-17,3789.22,3799.96,3770.39,3785.25,109489449,321933352894
2020-11-18,3811.39,3900.29,3808.49,3887.29,53001736,329385079538
2020-11-19,3905.28,3907.87,3851.15,3861.57,20647989,163274874951
2020-11-20,3861.31,3876.83,3853.62,3858.97,33123825,238845333793
2020-11-23,3872.22,3880.86,3845.62,3859.26,120918660,190274199050
2020-11-24,3860.82,3866.18,3823.39,3832.16,208710593,230737458447
2020-11-25,3837.03,3847.01,3780.25,3802.82,43692451,179425671158
2020-11-26,3795.78,3819.33,3795.78,3810.2,737620851,417743997940
2020-11-27,3820.14,3822.09,3802.0,3821.05,156670911,180252738304
2020-11-30,3828.84,3833.6,3785.52,3785.52,91195548,191243214728
