날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,2397.16,2397.16,2341.97,2349.09,14223303,26423876799
2020-01-21,2352.15,2352.83,2303.12,2305.09,9524212,24417602032
2020-01-22,2314.78,2335.2,2311.99,2319.58,9434478,18243638500
2020-01-23,2319.24,2326.7,2291.68,2302.95,7909401,18921447598
2020-01-28,2210.75,2230.9,2196.34,2212.94,17940882,19340418024
2020-01-29,2245.88,2264.97,2216.56,2242.66,9082103,12129879211
2020-01-30,2241.42,2279.29,2218.84,2228.36,9900172,15444170977
2020-01-31,2245.59,2271.25,2201.92,2201.92,10190403,18323909085
2020-02-03,2139.58,2227.66,2119.92,2202.2,16033966,16299397742
2020-02-04,2211.68,2245.57,2206.94,2243.02,5747166,14640158255
2020-02-05,2261.13,2276.36,2217.75,2227.88,9435084,14239416625
2020-02-06,2243.08,2266.42,2238.99,2260.73,9633265,12258206436
2020-02-07,2261.54,2264.96,2237.42,2262.61,10716715,12007997546
2020-02-10,2244.02,2268.82,2240.58,2250.5,7424983,11092519988
2020-02-11,2261.41,2268.23,2234.44,2239.62,5136581,10730282665
2020-02-12,2249.73,2260.69,2220.24,2257.88,6819490,14103475894
2020-02-13,2261.02,2264.31,2226.14,2234.61,7957082,13052561359
2020-02-14,2239.08,2264.56,2232.72,2262.73,7014119,11627844231
2020-02-17,2268.81,2274.91,2251.67,2271.1,5975716,10274407687
2020-02-18,2277.81,2280.77,2233.53,2233.53,10628870,16040545555
2020-02-19,2246.19,2251.68,2197.34,2250.35,8602034,14191504309
2020-02-20,2261.56,2271.81,2231.69,2250.38,10768148,14189521251
2020-02-21,2221.99,2248.76,2206.1,2215.54,16733747,12566558145
2020-02-24,2160.7,2161.48,2079.16,2079.16,25639477,19073869473
2020-02-25,2081.1,2115.42,2071.4,2104.11,16403594,14483323800
2020-02-26,2066.96,2097.09,2055.73,2071.51,8471600,10631638715
2020-02-27,2070.51,2085.95,1987.2,1990.03,11724701,14288635851
2020-02-28,1944.66,1973.15,1910.56,1916.99,16128560,16154493477
2020-03-02,1939.65,1960.56,1906.07,1932.59,25262826,14641646918
2020-03-03,1979.96,1984.47,1941.75,1942.49,9901479,9926641418
2020-03-04,1939.29,1992.26,1937.2,1992.26,25015804,9920863749
2020-03-05,2013.62,2030.97,1998.92,2023.09,7403535,10677396747
2020-03-06,1992.87,2002.45,1963.54,1974.84,8189129,9420764290
2020-03-09,1940.75,1940.75,1839.73,1855.09,8923094,15983535652
2020-03-10,1826.79,1861.79,1807.85,1861.79,9800884,12602942827
2020-03-11,1864.57,1864.57,1765.53,1776.09,10036579,11481871799
2020-03-12,1753.29,1758.56,1643.89,1657.38,16286316,15924192264
2020-03-13,1644.09,1644.09,1461.73,1556.5,27064756,19762230241
2020-03-16,1592.47,1633.05,1545.54,1545.54,15735961,15023717900
2020-03-17,1484.56,1563.49,1472.39,1525.89,13462892,12418664584
2020-03-18,1540.61,1551.29,1443.17,1443.53,14761116,11903572031
2020-03-19,1460.75,1470.18,1250.04,1257.57,26376146,19437928035
2020-03-20,1286.74,1424.73,1273.54,1424.73,17669666,12404171239
2020-03-23,1331.52,1377.31,1288.03,1343.67,20303669,10704074306
2020-03-24,1393.82,1440.92,1358.49,1437.97,16343925,13734917821
2020-03-25,1508.66,1558.06,1478.36,1538.11,38537716,19319605423
2020-03-26,1567.37,1617.67,1517.09,1568.03,34208322,18297657706
2020-03-27,1634.2,1634.36,1544.49,1579.91,38999005,14625912917
2020-03-30,1519.05,1601.8,1507.91,1594.91,19531095,11093426654
2020-03-31,1629.87,1732.39,1624.48,1690.48,44079793,21923015040
2020-04-01,1684.18,1779.2,1665.12,1704.96,25811432,21068094721
2020-04-02,1734.38,1754.14,1663.33,1727.5,15021778,10935940281
2020-04-03,1729.92,1740.95,1685.9,1707.06,11981953,9257911463
2020-04-06,1713.2,1768.33,1695.66,1766.48,14519487,14002908498
2020-04-07,1803.38,1824.65,1767.19,1813.73,18004724,18971182039
2020-04-08,1799.77,1838.82,1780.55,1814.94,16578531,12265298503
2020-04-09,1846.2,1847.91,1809.86,1814.99,17985438,11394930303
2020-04-10,1815.5,1826.23,1765.47,1801.18,16932233,11753204776
2020-04-13,1799.37,1809.41,1736.27,1740.44,27629414,16620455856
2020-04-14,1757.44,1785.39,1755.42,1773.0,32323273,12318254829
2020-04-16,1761.1,1809.47,1726.08,1801.78,14008225,12387854094
2020-04-17,1844.64,1858.27,1822.87,1825.83,704790795,75954028547
2020-04-20,1846.89,1890.0,1828.49,1874.54,191815912,43064781391
2020-04-21,1856.24,1974.74,1833.35,1865.52,139919607,115630094297
2020-04-22,1841.61,1874.28,1824.03,1851.55,92427441,23931450080
