날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,1164.89,1182.29,1163.91,1176.35,5350052,447721856114
2020-01-21,1181.05,1182.42,1163.42,1163.63,3937207,318341643155
2020-01-22,1170.27,1173.17,1159.65,1171.77,5848209,285796742730
2020-01-23,1161.94,1167.96,1148.18,1152.5,5346412,352315990340
2020-01-28,1120.69,1125.9,1100.29,1103.58,7875457,491718311500
2020-01-29,1108.84,1112.74,1094.09,1107.19,5971759,343369998250
2020-01-30,1111.5,1126.93,1106.49,1112.28,6888028,520283897780
2020-01-31,1118.48,1120.5,1098.19,1099.07,7027316,542877212010
2020-02-03,1080.12,1096.51,1069.39,1090.52,6568215,517182287090
2020-02-04,1102.42,1132.02,1101.64,1126.01,7641793,760133281055
2020-02-05,1141.18,1154.08,1134.36,1145.13,9709859,881724298390
2020-02-06,1149.25,1176.99,1146.47,1174.95,8423535,783171797800
2020-02-07,1166.38,1173.06,1158.41,1165.93,4734905,410624649386
2020-02-10,1154.05,1169.8,1149.25,1167.08,4132063,353418029950
2020-02-11,1177.28,1205.28,1177.0,1205.01,8731124,813855105870
2020-02-12,1198.42,1203.29,1188.04,1197.84,19411057,642433674860
2020-02-13,1197.65,1208.12,1187.98,1190.07,9604057,520932292152
2020-02-14,1194.71,1196.28,1184.03,1185.43,6314550,369815398430
2020-02-17,1177.33,1191.8,1169.74,1187.75,5670479,517647335810
2020-02-18,1179.59,1193.83,1174.52,1179.09,5430301,405269822460
2020-02-19,1186.71,1188.63,1159.78,1162.34,5536628,548664374613
2020-02-20,1168.7,1175.17,1154.74,1163.58,7543918,506280762150
2020-02-21,1143.93,1155.4,1136.59,1137.74,8665213,472760742120
2020-02-24,1112.76,1115.43,1090.12,1090.12,7388607,504292894540
2020-02-25,1087.9,1099.25,1081.5,1096.15,6429928,486786961140
2020-02-26,1076.9,1093.95,1072.8,1085.32,5881772,436521242232
2020-02-27,1085.72,1089.48,1061.95,1067.64,6484952,424506593350
2020-02-28,1042.98,1048.82,1022.67,1025.89,8627151,618318557737
2020-03-02,1030.67,1044.88,1016.3,1032.92,5776771,460679585480
2020-03-03,1059.47,1068.34,1041.42,1044.63,6092532,494591550540
2020-03-04,1043.57,1063.09,1043.57,1057.68,6321462,518499451430
2020-03-05,1074.48,1080.78,1066.1,1072.79,5907731,564678371140
2020-03-06,1056.62,1060.07,1036.75,1043.53,5462294,454808645520
2020-03-09,999.45,1006.57,980.83,982.11,9963485,731988384415
2020-03-10,976.27,997.48,974.24,990.71,8720368,692791679002
2020-03-11,999.13,1002.54,964.56,973.37,7023382,508032914700
2020-03-12,964.03,970.3,900.97,913.22,11575330,811955993160
2020-03-13,855.01,886.89,821.27,876.15,14709380,782888152170
2020-03-16,889.03,889.03,825.91,826.29,8511903,567518086550
