날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,22128.68,22431.76,22101.06,22271.47,59601742,1684300165047
2020-01-21,22155.54,22298.55,21921.39,21972.49,47244408,1307736059381
2020-01-22,21825.49,22395.35,21759.74,22318.85,60003257,1832429823708
2020-01-23,22033.4,22130.22,21780.85,21826.41,53223164,1789626457803
2020-01-28,21181.97,21326.77,20987.58,21192.38,69872304,2492058100334
2020-01-29,21349.6,21540.79,21241.34,21341.05,56164542,1884791240191
2020-01-30,21229.69,21283.93,20552.19,20685.73,61687676,2381095749588
2020-01-31,20858.66,21134.1,20403.97,20403.97,102868400,2621693662145
2020-02-03,20004.14,20742.86,19991.63,20667.96,134408355,2830581848872
2020-02-04,20629.27,21348.96,20629.27,21324.96,102929595,2820047263605
2020-02-05,21660.57,21751.1,21312.55,21501.75,81419756,2458945437388
2020-02-06,21703.23,22074.01,21597.24,22073.17,82386326,2211416112631
2020-02-07,21981.89,22037.52,21600.09,21831.62,73808532,1980846207431
2020-02-10,21427.79,21675.01,21412.15,21637.24,61761602,1579720578669
2020-02-11,21776.98,22056.11,21680.81,21827.93,53261792,1925246075064
2020-02-12,21975.3,22074.94,21752.85,21988.27,74962901,1996713576561
2020-02-13,22210.08,22406.07,22033.39,22087.78,66814247,2457300147369
2020-02-14,22155.08,22506.93,21922.3,22461.93,100834577,2090254035212
2020-02-17,22416.64,22581.7,22293.43,22417.03,98241116,1882211888701
2020-02-18,22176.93,22238.23,21817.52,21855.52,70517232,2269692590526
2020-02-19,21988.5,22103.49,21687.89,22006.72,66746933,1937355318924
2020-02-20,22239.91,22347.23,21782.38,21979.1,87266242,2257511929402
2020-02-21,21557.22,21915.26,21557.22,21685.29,65375661,2045407387944
2020-02-24,21091.4,21257.76,20828.6,20828.6,90511002,3099026915629
2020-02-25,20735.42,21097.78,20640.82,21088.09,139161204,3452910092359
2020-02-26,20521.16,20763.22,20440.33,20571.41,109756679,3029767330729
2020-02-27,20545.57,20678.62,20217.05,20299.36,88244909,2610725277988
2020-02-28,19978.34,20132.13,19564.37,19573.08,106056536,3577737993039
2020-03-02,19813.98,20158.28,19448.49,19981.92,99384318,3248587092853
2020-03-03,20663.76,20663.76,20032.81,20123.33,107235327,3318810149449
2020-03-04,19871.32,20806.95,19871.32,20739.84,78467996,2694135095657
2020-03-05,20904.99,20993.15,20557.13,20905.62,70620729,2420070934827
2020-03-06,20468.18,20707.99,20336.9,20437.57,52777976,2001014924253
2020-03-09,19710.4,19869.94,19309.11,19485.13,78075333,3115373195443
2020-03-10,19432.28,19783.98,19322.93,19694.1,86866808,3481312596205
2020-03-11,19588.31,19620.49,18788.98,18848.2,90869685,3746304722628
2020-03-12,18457.64,18758.62,17785.18,18286.9,112481566,4367965997239
2020-03-13,17108.82,18501.69,16875.36,17959.33,144927286,4920446932332
2020-03-16,18273.06,18273.06,17439.57,17467.24,91471865,3101288490274
2020-03-17,16775.01,17773.31,16710.83,17006.42,107942097,4007956276621
2020-03-18,17168.62,17368.45,16171.54,16171.54,104011000,3478005326040
2020-03-19,16542.37,16542.37,14810.97,15080.45,157468056,4632256221074
2020-03-20,15430.11,16190.42,15354.8,16132.04,120271436,4018846829269
2020-03-23,15174.63,15527.29,15069.23,15118.82,94087916,3260499447626
2020-03-24,15578.35,16767.61,15410.78,16767.61,110155139,3988282507474
2020-03-25,17418.91,17751.87,16954.9,17512.99,133508922,4575255358805
2020-03-26,17449.33,17822.82,17126.46,17135.18,131067725,3749046728790
2020-03-27,17824.24,17824.24,16839.82,17367.68,129699847,3569743312997
2020-03-30,16891.44,17438.66,16718.72,17256.02,95190716,2410228668793
2020-03-31,17406.33,17527.3,16996.78,17214.87,137913126,2918549743918
2020-04-01,16998.37,17291.86,16499.45,16499.45,141851396,2975590254649
2020-04-02,16645.0,16849.96,16345.42,16847.5,92026692,2228711211189
2020-04-03,16931.56,17123.43,16719.84,16878.99,89468782,2087278324828
2020-04-06,17057.59,17552.83,16981.37,17528.6,87700460,2407587913101
2020-04-07,18000.94,18112.8,17638.83,17924.24,103238730,3218090641019
2020-04-08,17863.58,18039.72,17633.3,17633.3,94290689,2632086317475
2020-04-09,17961.86,18009.12,17671.96,17817.13,97409981,2412186688832
2020-04-10,17711.2,17807.27,17600.67,17804.64,95197185,2129566786495
2020-04-13,17611.84,17649.32,17392.03,17400.67,105151709,1899368323075
2020-04-14,17593.24,17763.58,17454.41,17678.15,101560066,2026227621875
2020-04-16,17573.02,17762.37,17520.37,17728.23,90374356,2859645918205
2020-04-17,18292.78,18839.33,18228.87,18551.29,117302674,3981432583797
2020-04-20,18381.86,18472.24,18074.48,18119.34,76120322,2428676131981
2020-04-21,17880.93,18032.44,17634.54,17855.26,95951335,2919592058844
2020-04-22,17661.09,18140.77,17503.84,18105.35,68397553,2093388460248
2020-04-23,18248.62,18272.39,17972.98,18067.07,61169840,2147524687819
2020-04-24,17971.04,18002.19,17722.44,17841.82,60253969,1657784039676
2020-04-27,17852.74,18121.74,17790.53,18060.79,63282702,1665173495830
2020-04-28,18087.64,18187.72,17896.66,18159.04,126091887,2310058788997
2020-04-29,18096.1,18346.73,18034.29,18179.44,101952417,2323902975177
2020-05-04,17757.83,17826.81,17635.03,17645.74,67583516,2447583194549
2020-05-06,17834.06,17916.32,17659.29,17916.28,58256576,1754048024250
2020-05-07,17853.36,17979.27,17762.7,17823.75,73056465,1436398656914
2020-05-08,17966.6,18109.86,17935.05,17948.5,83097036,1843253584916
2020-05-11,17996.22,18092.01,17784.51,17824.99,93832415,2008658678383
2020-05-12,17845.24,17879.8,17537.58,17722.06,107191283,2518052660169
2020-05-13,17460.92,17929.83,17447.87,17929.83,81507876,2828329847953
2020-05-14,17699.92,17739.29,17567.69,17663.89,69773975,2359325534344
2020-05-15,17779.1,17795.08,17558.52,17652.13,94028652,1916578213011
2020-05-18,17634.63,18029.57,17508.85,17932.81,69713219,2432907819143
2020-05-19,18364.32,18488.2,18223.36,18416.51,101108402,2611517168738
2020-05-20,18257.0,18443.65,18257.0,18438.71,73728849,1929354075589
2020-05-21,18546.77,18572.26,18381.96,18410.66,104953368,1984567826417
2020-05-22,18353.03,18378.77,17931.35,18000.75,111683008,2069541833932
2020-05-25,18044.33,18094.83,17892.59,18090.4,89834627,2025893042181
2020-05-26,18101.6,18378.67,18055.07,18378.67,154224692,2981326572760
2020-05-27,18284.37,18580.82,18202.52,18469.97,202980035,3158492525042
2020-05-28,18799.78,18965.83,18428.55,18647.95,177523531,4207393977776
2020-05-29,18461.0,18695.94,18389.8,18657.3,126786683,2991451264526
2020-06-01,18692.78,18916.05,18668.71,18910.76,136421479,2214177686732
2020-06-02,18840.48,19041.42,18803.8,18983.82,86816761,1974694592478
2020-06-03,19117.15,20124.14,19093.74,19978.0,115082909,4913307704532
2020-06-04,20457.02,20737.44,19952.15,20000.66,153703467,4326897151950
2020-06-05,20006.57,20455.35,19863.03,20344.12,103403289,2836781853639
2020-06-08,20662.4,20694.38,20169.24,20237.89,110892846,2829405419917
2020-06-09,20638.92,20694.76,20074.55,20392.6,100226668,2974134662662
2020-06-10,20348.76,20588.13,20220.9,20455.9,102320047,2492733473278
2020-06-11,20236.24,20386.18,19726.79,20088.84,116417211,4236302772827
2020-06-12,19277.68,19570.71,19111.19,19415.55,91575357,3530567798331
2020-06-15,19145.32,19365.35,18464.99,18464.99,121437153,3760092503894
2020-06-16,18968.93,19328.02,18786.35,19328.02,88415251,2737936835387
2020-06-17,19312.36,19603.18,19091.3,19451.73,100821571,3280822424735
2020-06-18,19371.71,19461.34,19230.31,19415.88,63892350,1965670611857
2020-06-19,19551.42,19583.8,19148.78,19583.64,106128445,2498274487521
2020-06-22,19347.58,19517.86,19232.86,19306.04,96374876,1903780080768
2020-06-23,19558.46,19563.2,19036.24,19152.91,138799262,2688491533882
2020-06-24,19263.8,19949.47,19230.92,19626.25,99346309,3266892830141
2020-06-25,19339.65,19609.39,19239.57,19239.57,63223087,2352464061509
2020-06-26,19545.05,19786.95,19319.66,19620.49,68560982,2182647961391
2020-06-29,19337.64,19594.35,19177.5,19293.17,71169906,1938488558250
2020-06-30,19735.78,19839.4,19455.23,19455.28,77884856,2385979910528
2020-07-01,19731.47,19762.01,19358.26,19428.44,71871115,1937134316368
2020-07-02,19367.65,19521.37,19269.58,19498.13,74409662,1958209108135
2020-07-03,19599.67,19748.08,19474.21,19740.15,44998123,1494852368392
2020-07-06,19859.44,20239.86,19836.07,20212.68,119218054,2918687638092
2020-07-07,20490.17,20496.14,19723.98,19723.98,95806005,3269854232535
2020-07-08,19768.16,19891.41,19547.18,19580.98,76378843,2352804638127
2020-07-09,19713.61,19802.27,19563.11,19563.11,104907377,2431937672215
2020-07-10,19672.86,19699.41,19377.58,19522.5,131054290,2087105946497
2020-07-13,19763.5,19844.37,19630.45,19764.7,123847661,2495660069171
2020-07-14,19747.5,19855.72,19653.01,19855.7,127559820,2755975163851
2020-07-15,20065.3,20236.42,20065.3,20161.55,162524860,3550107741843
2020-07-16,20207.19,20207.19,19848.49,19875.45,109254976,2382538865107
2020-07-17,19959.5,20142.54,19957.85,20058.5,93746540,2049295764298
2020-07-20,20141.73,20159.31,19917.25,19978.58,89882663,1523533294363
2020-07-21,20291.57,20434.63,20221.81,20387.82,117404920,2851192661070
2020-07-22,20364.22,20418.68,20170.67,20221.25,121899604,2290543453805
2020-07-23,20200.63,20200.63,19923.69,20026.66,81640381,2154432846065
2020-07-24,19893.26,20105.18,19868.14,20034.53,122092897,1840671252693
2020-07-27,20095.78,20448.08,20075.27,20393.49,99619724,2473880720053
2020-07-28,20725.33,21350.26,20675.16,21256.25,171193112,5386661800265
2020-07-29,21489.45,21702.58,21217.64,21345.32,111206517,3943210089164
2020-07-30,21559.8,21676.61,21371.08,21414.08,131952136,3286919394968
2020-07-31,21603.47,21606.14,21014.33,21062.73,162231053,3232125991696
2020-08-03,21044.02,21077.78,20790.03,20831.93,131535396,3465202066743
2020-08-04,21035.65,21201.21,20886.11,20990.68,95964380,2868375550670
2020-08-05,21014.95,21045.62,20784.19,21027.72,84083270,3166193473820
2020-08-06,21117.64,21454.85,21117.64,21325.18,88014427,3097675391024
2020-08-07,21272.58,21443.81,21092.64,21233.47,89252277,3142875896043
2020-08-10,21216.3,21518.53,21174.4,21379.86,88369273,3182582097158
2020-08-11,21366.04,21779.36,21366.04,21447.86,93728774,3396139256121
2020-08-12,21440.09,21679.34,21236.64,21679.34,69543294,2691882743325
2020-08-13,21876.59,21896.47,21346.65,21583.23,96331440,3189028637090
2020-08-14,21347.48,21484.88,21185.24,21307.4,76104770,2459214679485
2020-08-18,21478.68,21719.14,21063.12,21180.31,92954877,3305497667104
2020-08-19,21390.4,21394.75,20957.24,20957.24,93462602,2813518147210
2020-08-20,20727.01,20810.16,20037.21,20079.36,113553462,3663942937053
2020-08-21,20446.04,20743.06,20239.21,20390.56,253351970,3302976063532
2020-08-24,20354.33,20745.99,20200.95,20578.25,113785949,2314246401716
2020-08-25,20775.23,20863.07,20579.1,20741.51,137392427,2156872302180
2020-08-26,20764.02,20843.68,20491.52,20812.45,160811413,2577730806608
2020-08-27,20789.95,20822.98,20598.16,20613.69,144704483,2464029995733
2020-08-28,20776.62,20806.94,20513.06,20513.74,86416103,1926318977589
2020-08-31,20747.59,20767.45,20007.16,20007.16,118596163,3392694406984
2020-09-01,20137.49,20305.76,20058.25,20133.3,110457212,2894761143066
2020-09-02,20279.38,20436.9,20064.99,20214.64,208251107,2497138163213
2020-09-03,20649.34,20982.69,20625.87,20856.27,161316456,4087879161275
2020-09-04,20356.18,20710.89,20347.23,20635.43,394511017,3972413877935
2020-09-07,20767.97,21159.15,20666.4,20917.4,461341240,4826617323832
2020-09-08,21230.81,21550.76,21116.14,21550.76,241338815,4739778184837
2020-09-09,21284.79,21684.11,21211.68,21410.99,216163543,3968260042925
2020-09-10,21820.47,21891.92,21639.62,21644.02,220891482,4064709319610
2020-09-11,21624.37,21713.97,21352.03,21646.67,158051954,2337170876121
2020-09-14,22094.31,22164.52,21923.52,22085.59,240016993,3171822008338
2020-09-15,22233.33,22339.64,22091.67,22330.14,159668815,2769649546289
2020-09-16,22333.54,22405.46,22164.18,22275.15,122429884,2530441079836
2020-09-17,22188.45,22245.74,21790.91,21874.76,166220304,3063607075872
2020-09-18,22012.41,22047.31,21767.92,21894.07,111926991,2521052446776
2020-09-21,21892.72,22149.77,21746.54,21833.4,194812940,2593775617359
2020-09-22,21768.85,21963.63,21266.72,21419.58,214406647,2922936228883
2020-09-23,21601.86,21676.09,21050.71,21578.46,120383495,2633598733527
2020-09-24,21212.35,21573.4,21171.83,21225.21,152377543,2805057380537
2020-09-25,21401.47,21429.89,21204.82,21239.74,96798271,1935715505753
2020-09-28,21421.41,21532.23,21223.4,21372.39,61458217,1671007737082
2020-09-29,21467.74,21724.16,21455.3,21473.6,95442244,2278284683006
2020-10-05,21342.83,21769.41,21304.58,21617.71,130516163,2418432403626
2020-10-06,21792.88,21970.29,21575.56,21686.13,98930309,2677170085805
2020-10-07,21576.5,21977.96,21525.45,21977.93,198948708,2463197465095
2020-10-08,22232.22,22258.99,21879.8,21926.59,308338160,3522693554037
2020-10-12,22091.48,22213.88,22035.25,22176.48,221325408,2850605275609
2020-10-13,22343.82,22492.37,22144.43,22415.6,265088029,3351151746362
2020-10-14,22442.8,22496.57,22220.78,22322.08,198393790,2527077402982
2020-10-15,22215.99,22215.99,21946.83,22052.38,400248837,3074590661240
2020-10-16,22066.67,22185.03,21629.4,21799.57,247478758,2256030198380
2020-10-19,21941.9,22060.33,21828.62,21952.3,327187053,2482688832800
2020-10-20,21970.81,22305.51,21951.49,22215.03,216343382,2798923573610
2020-10-21,22334.88,22395.16,22081.67,22175.9,155374020,2189990020922
2020-10-22,22001.59,22041.39,21767.42,21890.14,144072990,1880643554209
2020-10-23,21954.9,22015.56,21763.55,21921.99,85769845,1438181349438
2020-10-26,22011.71,22166.35,21861.65,21882.01,235933999,2085593163846
2020-10-27,21738.52,21830.93,21640.52,21751.16,151870805,2169375476929
2020-10-28,21612.98,21637.62,21474.35,21588.8,265360288,2183018693179
2020-10-29,21343.0,21384.73,21052.61,21287.78,124207073,2387404914812
2020-10-30,21221.83,21278.01,20801.22,20801.35,124003803,3101374470076
2020-11-02,20765.39,21061.84,20608.83,21020.57,90596785,2048178868561
2020-11-03,21197.61,21569.22,21165.8,21535.18,101304999,1958313591393
2020-11-04,21628.79,21672.7,21300.2,21517.7,111844534,2532554841080
2020-11-05,21681.98,22183.77,21646.43,22183.77,117503294,2612680232971
2020-11-06,22281.72,22354.36,22028.92,22179.5,101901834,2404476987555
2020-11-09,22418.33,22558.48,22274.73,22335.27,302046065,3108701193103
2020-11-10,22328.78,22384.81,22116.56,22346.26,236184053,3143140251724
2020-11-11,22451.46,22621.19,22370.38,22587.37,159925242,3113288090874
