날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,2477.31,2514.09,2477.31,2496.6,21048400,1379724601700
2020-01-21,2496.65,2504.42,2475.16,2477.04,16509670,1076468357800
2020-01-22,2476.17,2522.28,2473.39,2519.87,24269899,1552437988769
2020-01-23,2494.26,2510.17,2471.69,2477.7,22975239,1555147570576
2020-01-28,2408.59,2427.6,2398.55,2422.39,34497867,2212733391220
2020-01-29,2439.75,2460.94,2424.39,2445.19,24424059,1663581041436
2020-01-30,2442.02,2456.41,2381.81,2398.15,31642945,2109201827362
2020-01-31,2415.15,2432.14,2355.16,2355.16,33840180,2125812767213
2020-02-03,2311.47,2386.12,2308.21,2373.81,36311258,2232232910850
2020-02-04,2385.88,2465.51,2385.84,2465.05,34952736,2307845364282
2020-02-05,2502.42,2510.61,2461.4,2476.08,30664047,2081959682115
2020-02-06,2486.99,2544.53,2483.78,2541.48,26526521,1724092109170
2020-02-07,2525.86,2538.57,2496.82,2518.45,24280650,1627023345018
2020-02-10,2477.1,2518.0,2474.68,2512.37,19702111,1297133035430
2020-02-11,2534.7,2584.42,2525.4,2567.55,20511435,1570159961160
2020-02-12,2573.59,2594.01,2555.93,2585.1,24024293,1600889704530
2020-02-13,2598.31,2623.28,2583.22,2589.03,32202780,2151380929142
2020-02-14,2593.2,2620.91,2569.68,2611.08,20615759,1366875514850
2020-02-17,2612.91,2632.37,2591.07,2618.69,14832366,996747906300
2020-02-18,2595.41,2615.69,2571.13,2579.52,27585920,1815839406335
2020-02-19,2604.19,2615.42,2558.75,2591.98,20803478,1453825511847
2020-02-20,2606.89,2623.59,2559.63,2591.82,23598259,1656016809000
2020-02-21,2548.35,2588.54,2546.11,2552.74,23458703,1666843858358
2020-02-24,2485.09,2500.26,2451.76,2454.04,38535138,2626278063540
2020-02-25,2442.67,2464.07,2414.57,2461.16,38043713,2708105689909
2020-02-26,2398.73,2431.13,2389.2,2404.46,39793307,2624949780057
2020-02-27,2398.88,2415.22,2351.76,2362.58,36124332,2282782494132
