날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,5535.14,5580.74,5529.67,5543.89,330749079,4020678989491
2020-01-21,5534.25,5554.6,5473.31,5478.78,560808712,3852726128921
2020-01-22,5466.8,5573.9,5457.84,5564.82,479485516,4923077727880
2020-01-23,5528.68,5547.65,5487.7,5497.52,405222639,5125848419144
2020-01-28,5347.64,5372.72,5302.19,5336.27,630140991,6526977869540
2020-01-29,5368.91,5395.13,5328.87,5359.68,460623686,4948084784797
2020-01-30,5344.95,5357.36,5216.97,5239.55,381763717,5332962695263
2020-01-31,5274.92,5305.42,5160.22,5160.22,546872757,5501309708379
2020-02-03,5060.91,5195.43,5051.61,5180.47,685573168,6032164108107
2020-02-04,5188.38,5315.11,5187.87,5303.43,450489886,5824257787729
2020-02-05,5367.17,5379.64,5292.34,5323.73,427746749,5888061137216
2020-02-06,5370.56,5492.39,5363.62,5492.16,529461091,6207681307601
2020-02-07,5472.71,5479.93,5405.38,5445.8,628305736,5379708753793
2020-02-10,5371.83,5433.89,5362.99,5426.05,489190594,3992581452771
2020-02-11,5461.49,5522.89,5454.14,5488.81,386069667,5026465179900
2020-02-12,5507.51,5538.04,5471.4,5524.1,403695285,4645567864338
2020-02-13,5557.7,5588.66,5514.09,5522.41,440202717,5349124112274
2020-02-14,5526.55,5579.43,5488.27,5565.83,383763294,4458138817348
2020-02-17,5561.03,5594.87,5532.5,5569.49,323270151,4049195465221
2020-02-18,5524.06,5542.33,5462.47,5471.42,356098642,4779025520848
2020-02-19,5506.49,5520.76,5425.08,5478.96,458470630,5202741554067
2020-02-20,5520.57,5537.17,5417.92,5450.09,581383650,5849326085063
2020-02-21,5365.79,5424.51,5357.21,5366.32,461773765,5212464487387
2020-02-24,5231.73,5256.98,5148.72,5148.72,737595619,6899631641484
2020-02-25,5137.58,5213.48,5121.93,5211.77,1401263755,6925261579003
2020-02-26,5098.79,5167.49,5083.63,5130.54,606116399,5499142895397
2020-02-27,5124.22,5155.88,5056.88,5070.93,352553480,4779616845186
2020-02-28,4984.37,5016.24,4882.32,4893.83,444011734,6786305654891
2020-03-02,4925.47,4995.63,4853.06,4956.06,367623636,5696182280276
2020-03-03,5095.92,5095.92,4971.97,4986.71,452587106,6110067169780
2020-03-04,4951.77,5111.36,4951.77,5098.91,441727076,5400317366717
2020-03-05,5147.5,5174.6,5094.37,5163.05,357853501,5292026555530
2020-03-06,5075.67,5111.88,5030.1,5051.99,490731226,4780060470246
2020-03-09,4895.36,4923.06,4806.57,4831.9,413795972,6316403278286
2020-03-10,4804.39,4877.38,4782.81,4863.84,441175242,6864507103445
2020-03-11,4869.05,4870.42,4680.72,4702.21,449784305,6571452031069
2020-03-12,4640.26,4683.78,4457.85,4530.32,460570123,8180925578169
2020-03-13,4268.13,4498.68,4161.45,4388.94,622452990,9822873629098
2020-03-16,4478.01,4478.01,4247.42,4248.31,440622457,6337047377592
2020-03-17,4072.61,4295.33,4060.82,4159.58,415304212,7253955333858
2020-03-18,4196.8,4223.14,3957.85,3958.94,494751001,7222048799013
2020-03-19,4050.41,4050.41,3584.52,3624.9,573642147,8676972013237
2020-03-20,3726.85,3905.47,3668.06,3901.15,506947088,7708045428540
2020-03-23,3675.49,3786.53,3643.4,3703.11,434190980,7191288265019
2020-03-24,3815.19,4047.2,3775.71,4047.2,441447589,7697942563434
2020-03-25,4198.07,4277.9,4131.0,4266.67,558715132,9310187993159
2020-03-26,4253.37,4338.24,4202.1,4207.52,647288813,9147659045802
2020-03-27,4379.7,4383.68,4141.6,4266.22,763807421,9660967108928
2020-03-30,4148.43,4290.94,4119.84,4257.15,546088613,6537053236431
2020-03-31,4308.97,4345.98,4260.79,4345.98,739772727,10413015448253
2020-04-01,4304.3,4359.13,4167.38,4167.53,946831926,8675695892910
2020-04-02,4182.48,4254.61,4105.9,4252.73,555866301,7476554199628
2020-04-03,4279.15,4314.48,4222.1,4265.66,760963924,8105786515275
2020-04-06,4319.03,4438.32,4308.29,4430.37,965172423,8514190414023
2020-04-07,4525.85,4550.38,4438.05,4516.81,655499952,8071697072175
2020-04-08,4498.2,4561.9,4467.5,4471.56,662189944,8236026416293
2020-04-09,4551.47,4558.88,4499.72,4548.26,682368764,7487437697491
2020-04-10,4544.3,4596.67,4505.17,4596.67,636578683,8786144840395
2020-04-13,4572.28,4572.28,4503.22,4503.22,739026856,7157261235185
2020-04-14,4556.55,4599.91,4529.7,4577.12,638069247,7832162309462
2020-04-16,4541.03,4593.8,4520.78,4583.2,562753288,7818286925622
2020-04-17,4688.03,4770.71,4684.28,4737.45,1249753952,9228412850777
2020-04-20,4709.0,4746.57,4671.86,4684.51,763756842,8537493458637
2020-04-21,4648.07,4679.49,4551.52,4632.84,774352628,10022644157491
2020-04-22,4576.68,4678.44,4545.98,4672.0,486481936,6465718528807
2020-04-23,4705.63,4733.59,4658.96,4710.42,434353846,6389481661705
2020-04-24,4687.73,4693.02,4623.28,4647.14,584547104,6072838864572
2020-04-27,4658.27,4716.66,4645.37,4698.43,470360189,4910120090326
2020-04-28,4713.87,4735.62,4665.22,4713.39,857275400,7098866841967
2020-04-29,4713.95,4765.3,4705.47,4741.91,1524725131,6363114759568
2020-05-04,4641.91,4662.52,4608.34,4610.98,786401733,6790222375276
2020-05-06,4668.42,4686.4,4623.04,4686.12,778290516,5552445593727
2020-05-07,4668.24,4699.82,4653.16,4668.53,533994236,4217041959441
2020-05-08,4705.23,4743.47,4698.7,4719.2,525176217,5260277403619
2020-05-11,4738.08,4752.16,4679.63,4687.51,390771738,5194218857034
2020-05-12,4692.62,4692.62,4612.53,4648.71,592857982,6627305356015
2020-05-13,4589.93,4710.07,4588.16,4710.07,423230567,6282102943809
2020-05-14,4662.02,4673.25,4629.31,4660.03,578088149,6476975314207
2020-05-15,4690.1,4692.85,4635.82,4671.41,681626891,6988973054143
2020-05-18,4687.97,4730.3,4657.37,4706.8,569526160,7166436320565
2020-05-19,4808.85,4831.63,4782.01,4821.01,545215270,8427944443935
2020-05-20,4788.56,4832.37,4788.56,4827.89,456230651,5474424688454
2020-05-21,4858.6,4863.82,4832.45,4844.58,435701326,5803431522406
2020-05-22,4855.07,4858.3,4741.96,4762.17,635909120,6706976562593
2020-05-25,4781.36,4804.37,4744.03,4802.76,452850509,5230121952471
2020-05-26,4819.22,4892.72,4812.41,4892.72,786701000,8112295612890
2020-05-27,4880.66,4933.89,4871.38,4905.42,909515737,8653939215647
2020-05-28,4953.94,4972.38,4838.2,4894.57,903562883,9904687666115
2020-05-29,4868.78,4928.43,4841.24,4916.36,778821140,9247785803025
2020-06-01,4925.19,4999.37,4922.28,4998.0,626698299,6725884252359
2020-06-02,4992.94,5047.44,4986.4,5041.22,588419663,6610738146804
2020-06-03,5095.25,5255.71,5091.74,5226.86,811221006,11964064787951
2020-06-04,5321.56,5354.35,5216.1,5252.9,869863518,11213969926326
2020-06-05,5251.97,5356.09,5225.95,5336.5,557109136,9223045854945
2020-06-08,5421.81,5427.18,5317.26,5338.76,596948148,9707950423445
2020-06-09,5410.07,5424.6,5299.62,5366.66,561954737,11211025510813
2020-06-10,5359.38,5401.86,5330.93,5390.49,511904929,9465142012962
2020-06-11,5370.45,5415.75,5273.81,5355.09,558268105,12531881005260
2020-06-12,5135.86,5262.12,5124.78,5244.88,468048755,11083453556566
2020-06-15,5198.76,5224.68,4969.29,4969.29,621877862,12586654780760
2020-06-16,5114.95,5230.2,5081.96,5230.2,458221137,9516908613981
2020-06-17,5224.62,5282.35,5158.55,5241.76,618545277,11811175538406
2020-06-18,5229.02,5251.9,5193.15,5229.47,467213467,7951464131308
2020-06-19,5272.7,5274.57,5167.6,5262.0,619346620,8577382047191
2020-06-22,5220.96,5249.39,5199.82,5203.46,497857344,6337655165442
2020-06-23,5264.07,5277.05,5156.61,5204.89,555322011,8896054579010
2020-06-24,5251.58,5349.45,5246.58,5309.31,488090772,9366889498837
2020-06-25,5232.46,5277.73,5199.21,5199.21,657386658,7592036075878
2020-06-26,5268.22,5285.26,5208.99,5262.42,496242259,6809736804925
2020-06-29,5195.25,5234.33,5144.24,5161.97,428621194,6419443222753
2020-06-30,5248.84,5266.54,5195.02,5195.26,460222689,8151846875614
2020-07-01,5249.44,5251.13,5158.98,5172.44,406133332,6147532310789
2020-07-02,5186.23,5233.94,5184.05,5233.94,393635881,5954175991507
2020-07-03,5268.23,5280.01,5220.18,5277.33,343037588,5227875451959
2020-07-06,5298.26,5365.85,5279.1,5355.48,403583787,6843775267065
2020-07-07,5402.87,5404.19,5282.51,5282.51,542520345,9005083984257
2020-07-08,5292.66,5315.98,5249.47,5261.68,373347955,6766782317910
2020-07-09,5298.38,5324.12,5281.1,5289.19,408490344,7724424571793
2020-07-10,5305.76,5308.17,5216.15,5248.31,594340582,7817861262962
2020-07-13,5300.57,5346.92,5282.35,5338.0,479357694,7436965441463
2020-07-14,5324.17,5346.67,5299.66,5346.67,565139423,8556143553400
2020-07-15,5409.97,5444.29,5384.22,5410.15,612346604,10191313170967
2020-07-16,5420.66,5420.66,5346.07,5358.62,515292182,7438244400411
2020-07-17,5376.52,5425.51,5376.52,5414.99,409233512,7734615023134
2020-07-20,5441.39,5448.39,5392.58,5419.15,503993460,9034390351257
2020-07-21,5475.83,5525.47,5467.36,5511.34,686451819,12244358307803
2020-07-22,5508.24,5532.97,5489.59,5516.75,623721921,11895569020405
2020-07-23,5516.16,5516.16,5455.23,5490.1,686183179,12497706268486
2020-07-24,5443.59,5507.6,5439.24,5454.67,783781555,13545781455650
2020-07-27,5464.83,5532.11,5464.83,5507.13,616342477,11104819907917
2020-07-28,5572.87,5657.01,5565.04,5636.06,531215855,13545223004292
2020-07-29,5655.58,5698.1,5615.61,5643.24,592739853,12005119737500
2020-07-30,5674.22,5692.53,5646.21,5658.01,446671108,10060452384686
2020-07-31,5692.16,5697.78,5600.65,5601.59,485501518,9245701502934
2020-08-03,5606.39,5611.27,5561.71,5597.21,401635462,9874567166914
2020-08-04,5651.94,5683.55,5635.75,5663.61,433723623,10787428598627
2020-08-05,5681.87,5760.08,5674.45,5759.86,559899529,14240718194624
2020-08-06,5793.58,5870.07,5793.58,5845.42,517133272,13196727551017
2020-08-07,5854.17,5901.38,5831.86,5884.15,552562855,12645548539810
2020-08-10,5898.42,5983.88,5881.34,5964.18,512209624,14039008530345
2020-08-11,5985.2,6091.7,5985.2,6053.19,491471266,13098852334918
2020-08-12,6037.87,6069.44,5983.46,6062.77,467451469,11201186988311
2020-08-13,6120.34,6131.43,5980.37,6046.38,595548198,11812767280198
2020-08-14,6007.15,6034.55,5912.66,5973.12,702820614,11942432205842
2020-08-18,5978.44,6025.23,5820.04,5853.53,629945870,12091427099060
2020-08-19,5915.16,5926.04,5853.01,5858.98,458918828,9077569524246
2020-08-20,5805.16,5859.9,5645.16,5655.96,625003750,12900851132082
2020-08-21,5742.19,5804.05,5674.72,5731.4,662518664,11081227272282
2020-08-24,5736.63,5811.62,5681.55,5796.05,457459556,8963705072028
2020-08-25,5851.68,5885.93,5822.88,5872.38,543358739,10123441111031
2020-08-26,5883.71,5906.24,5798.61,5892.39,643552689,10603675100033
2020-08-27,5898.99,5900.91,5820.21,5820.22,643581624,11123292376238
2020-08-28,5864.91,5902.78,5817.14,5834.41,815172523,10694252923067
2020-08-31,5899.43,5905.92,5753.98,5753.98,1360596677,13908231963033
2020-09-01,5788.86,5830.18,5765.14,5810.16,847799392,12788646547119
2020-09-02,5837.1,5859.02,5778.1,5825.8,1130732438,12010250552010
2020-09-03,5888.01,5953.18,5886.15,5933.6,757283402,13330111246131
2020-09-04,5777.61,5880.35,5777.61,5868.32,1121092090,14909814736304
2020-09-07,5876.0,5937.59,5857.44,5920.72,971942359,12815082158814
2020-09-08,5974.43,5996.82,5940.54,5994.06,746586618,13350554825631
2020-09-09,5921.69,5973.37,5917.33,5926.16,728604320,11889278023676
2020-09-10,6007.78,6014.9,5965.28,5991.86,858568330,11997741195005
2020-09-11,5979.04,6001.12,5929.6,5990.2,634019098,8425172420427
2020-09-14,6062.14,6093.41,6038.8,6085.76,759677230,9004675161890
2020-09-15,6117.5,6131.61,6078.27,6129.87,620658216,8398638811514
2020-09-16,6133.52,6154.39,6099.06,6114.6,537604761,8917377965749
2020-09-17,6101.32,6123.09,6011.34,6028.56,607159294,11282039546870
2020-09-18,6061.99,6067.59,6010.66,6050.63,479944154,11277176956418
2020-09-21,6052.08,6094.32,5972.52,6000.84,637104607,11462120323256
2020-09-22,6005.28,6007.13,5833.79,5863.0,763947771,14707104585004
2020-09-23,5916.61,5920.6,5726.68,5853.77,478932822,10376309726132
2020-09-24,5751.18,5805.36,5684.23,5689.88,490497569,9409685558289
2020-09-25,5748.85,5752.62,5674.47,5703.75,468354508,7718887590148
2020-09-28,5766.52,5789.31,5726.56,5767.58,357900748,6806860990273
2020-09-29,5825.16,5853.3,5804.29,5822.45,414988681,7112827795101
2020-10-05,5833.85,5931.52,5825.04,5907.45,475963737,8050214421941
2020-10-06,5941.92,5970.88,5904.58,5933.61,533184535,8314382004287
2020-10-07,5899.85,5998.73,5894.98,5996.65,539869582,6906906378661
2020-10-08,6059.66,6062.72,5992.27,6011.03,687119317,9597656726247
2020-10-12,6039.74,6061.05,6018.91,6050.82,559528661,7595128341067
2020-10-13,6085.66,6093.15,6006.5,6053.44,518935767,7712185749801
2020-10-14,6058.99,6058.99,5978.6,5995.19,677219951,7965024191461
2020-10-15,5981.63,5983.31,5914.7,5946.59,903453473,8168792865428
2020-10-16,5950.09,5971.38,5835.07,5880.65,727144517,7314978158496
2020-10-19,5910.73,5931.18,5877.21,5890.13,697775552,7202499101037
2020-10-20,5850.68,5933.09,5832.77,5923.49,636892374,8331800312972
2020-10-21,5938.2,5948.84,5899.06,5928.42,561975152,6636393826087
2020-10-22,5889.51,5899.7,5834.92,5868.53,574532144,6579921303716
2020-10-23,5897.24,5910.67,5843.23,5890.31,542810123,7330156100970
2020-10-26,5906.0,5914.87,5851.17,5857.67,528914070,6727046352623
2020-10-27,5823.47,5878.86,5799.36,5836.0,415125942,6934838373003
2020-10-28,5818.09,5855.9,5790.52,5851.96,512116496,6080663244320
2020-10-29,5772.66,5832.38,5748.81,5822.16,327614916,7462367749696
2020-10-30,5801.91,5806.44,5668.34,5669.15,389245342,8104985661502
2020-11-02,5687.43,5756.91,5654.16,5749.75,387808392,5655855225454
2020-11-03,5794.63,5888.16,5789.88,5883.5,620914394,7885584655228
2020-11-04,5930.79,5949.02,5863.39,5903.5,732334055,10600917533616
2020-11-05,5960.56,6071.69,5952.35,6071.69,466730128,8677819891049
2020-11-06,6093.35,6118.55,6053.28,6084.81,544351894,9212211124883
2020-11-09,6148.44,6202.06,6135.51,6168.97,749017331,11071160660925
2020-11-10,6182.79,6192.47,6129.05,6172.99,780889533,11805754120697
2020-11-11,6193.9,6245.64,6192.61,6236.76,738683949,12359457262238
2020-11-12,6227.78,6250.12,6200.67,6223.86,624560457,9937627762158
2020-11-13,6211.33,6304.03,6196.12,6302.71,599802106,11659640236674
2020-11-16,6343.33,6457.2,6343.33,6448.49,585291446,10491383131155
2020-11-17,6453.73,6497.07,6423.97,6438.69,697978263,10860175291834
2020-11-18,6474.13,6482.45,6418.63,6449.1,519341893,8925871572949
2020-11-19,6426.39,6469.65,6416.6,6462.65,670744416,8918710221488
2020-11-20,6450.25,6494.57,6434.58,6477.63,881123069,9272844124678
2020-11-23,6498.56,6649.47,6483.15,6638.04,1190973979,11794904298173
2020-11-24,6678.89,6720.89,6639.57,6676.79,1013332833,12325295398939
2020-11-25,6725.86,6744.01,6590.53,6630.2,794714836,16106289949999
2020-11-26,6643.62,6711.74,6600.93,6711.73,1150826432,9395265083471
2020-11-27,6703.76,6741.68,6686.73,6736.82,961896791,9345552071348
2020-11-30,6777.73,6779.94,6638.83,6638.83,909270820,15476396312103
2020-12-01,6697.88,6767.93,6683.13,6752.07,780043854,10696161529168
2020-12-02,6789.49,6891.78,6786.81,6884.15,760183484,13218475700290
2020-12-03,6913.93,6946.51,6879.52,6946.51,542820521,11516404039894
2020-12-04,6988.14,7100.37,6987.21,7057.15,1426116810,14782298479181
2020-12-07,7074.54,7146.35,7038.16,7135.8,1155373508,13675387875472
2020-12-08,7134.6,7138.1,6994.41,6994.48,1126907607,13233379641932
2020-12-09,7001.32,7169.37,7001.32,7169.36,880411336,12790453306295
2020-12-10,7155.26,7181.94,7056.29,7120.77,725288145,14361400630370
2020-12-11,7143.09,7200.49,7141.22,7149.63,703105093,12519331730037
2020-12-14,7147.74,7194.24,7110.35,7148.6,716659800,12439430013850
2020-12-15,7153.11,7172.27,7077.3,7141.68,699398298,11616302544839
2020-12-16,7164.5,7209.55,7158.27,7186.84,835041018,10815662774209
2020-12-17,7178.8,7192.81,7105.17,7183.46,678349210,11906507868465
2020-12-18,7184.27,7207.43,7152.13,7175.81,701482249,13687862294787
2020-12-21,7173.73,7199.6,7105.86,7194.05,847638141,15520768401003
2020-12-22,7170.38,7170.38,7056.92,7056.92,823675219,15026227267090
2020-12-23,7067.83,7157.18,7012.46,7148.38,792439457,15380168117718
2020-12-24,7154.36,7325.18,7154.36,7300.74,633042512,15943981374092
2020-12-28,7350.11,7400.68,7286.86,7314.99,640210743,19313999910369
2020-12-29,7329.9,7394.4,7292.23,7392.33,721391488,14991020246683
2020-12-30,7391.29,7563.81,7349.02,7548.59,774148771,13039217305675
2021-01-04,7547.57,7814.23,7547.57,7790.23,669515010,18271848727471
2021-01-05,7789.52,7910.46,7727.76,7910.46,893392422,18597666363041
2021-01-06,7919.76,8003.65,7805.78,7824.74,960538517,20812710642673
2021-01-07,7860.1,8054.45,7860.1,7978.27,843588712,18796321584937
2021-01-08,8000.57,8403.86,8000.57,8371.68,826490602,31302262939102
2021-01-11,8408.14,8765.87,8263.46,8395.39,947778380,32950102271765
2021-01-12,8390.36,8412.36,8100.22,8322.06,914258586,23199329597257
2021-01-13,8322.77,8416.2,8248.98,8367.28,1136671312,18156514402373
2021-01-14,8362.33,8371.37,8282.49,8340.2,816845964,17574062057804
2021-01-15,8346.22,8465.66,8163.83,8163.84,943872725,16514458850106
2021-01-18,8144.04,8160.69,7940.96,7975.88,1056744834,17279396851822
2021-01-19,7967.4,8259.78,7958.98,8213.29,896965757,18940985631103
2021-01-20,8291.81,8391.27,8187.89,8279.47,900961859,19803100921095
2021-01-21,8296.41,8400.28,8272.3,8389.51,999638337,19292305576021
2021-01-22,8394.17,8434.09,8316.94,8317.02,821416054,17327929387752
2021-01-25,8319.81,8525.2,8305.99,8509.24,780995885,14416734552740
2021-01-26,8486.78,8506.53,8301.72,8325.89,599161196,15996678598880
2021-01-27,8330.67,8437.58,8260.59,8263.82,668271664,15212850303559
2021-01-28,8240.98,8240.98,8047.5,8108.87,915195114,16620580429235
2021-01-29,8136.6,8201.14,7839.17,7868.24,612004925,18025688613267
2021-02-01,7867.08,8101.75,7795.19,8100.66,660426915,15971586954140
2021-02-02,8124.72,8326.16,8124.72,8207.62,534568550,13917208820578
2021-02-03,8241.69,8334.23,8182.22,8288.86,642105097,17471141032417
2021-02-04,8306.38,8306.38,8121.39,8175.68,720504205,15184431929162
2021-02-05,8208.99,8282.47,8155.81,8263.8,577024636,13965877025953
2021-02-08,8237.95,8248.14,8128.33,8131.86,535900703,13536978376402
2021-02-09,8170.21,8257.15,8117.84,8117.84,516132208,12218961744726
2021-02-10,8126.2,8168.55,8049.04,8135.85,393756595,11479196964608
2021-02-15,8160.95,8314.15,8160.95,8288.54,552786093,11724093809248
2021-02-16,8304.83,8376.8,8254.35,8309.31,980956866,10915472576279
2021-02-17,8306.8,8306.8,8166.63,8212.42,1058963306,11256644384277
2021-02-18,8206.1,8233.92,8088.64,8088.64,1009663864,11938160812724
2021-02-19,8100.11,8162.25,7974.81,8154.28,2082217908,13276239401395
2021-02-22,8171.7,8254.12,8086.01,8086.01,1259974094,12493764322451
2021-02-23,8051.04,8120.22,7949.79,8048.22,1802562649,12629440148434
2021-02-24,8044.17,8119.82,7853.97,7860.35,1051850435,14411051882236
2021-02-25,7967.19,8172.66,7967.19,8172.35,896812839,12613949420510
2021-02-26,8148.06,8148.06,7850.66,7915.1,910604000,15375120928167
2021-03-02,7928.94,8170.42,7928.94,8015.12,1189885211,13991453012885
2021-03-03,8003.98,8089.74,7949.92,8089.71,974714922,9405658586999
2021-03-04,8072.37,8072.37,7916.85,7971.85,638022355,11249579540213
2021-03-05,7956.89,7978.23,7812.18,7943.36,577723433,10093891612404
2021-03-08,7949.67,8027.02,7831.09,7842.25,582155331,9339858482769
2021-03-09,7815.11,7834.12,7646.47,7774.92,623922068,11179706059538
2021-03-10,7777.97,7899.91,7696.73,7704.94,451578319,9082013723868
2021-03-11,7723.01,7914.85,7723.01,7878.7,818866843,10464743467501
