키워드,언론사,기사명,날짜,URL
YTN,[김혜민의 이슈&피플] 우리아이 우울증인가요? 코로나19로 소아 청소년 우울 ...,2021-10-06,https://www.ytn.co.kr/_ln/0103_202110061720475386,코로나 생활지표
데이터넷,"과기정통부, '2021년 4차 산업혁명 지표' 발간",2021-10-06,http://www.datanet.co.kr/news/articleView.html?idxno=165053,코로나 생활지표
경향신문,"경기 연천 부대, 코로나19 집단감염 누적 46명···돌파감염 74%",2021-10-04,https://www.khan.co.kr/national/national-general/article/202110031145001,코로나 생활지표
경향신문,"""'위드코로나'는 어쩔 수 없는 ‘적과의 동침’···치명률 낮다고 안전한 질...",2021-10-05,https://www.khan.co.kr/national/health-welfare/article/202110041257001,코로나 생활지표
약업신문,코로나19가 남기는 숙제…미래 팬데믹에 대한 대비,2021-10-07,http://www.yakup.com/news/index.html?mode=view&cat=12&nid=261729,코로나 생활지표
YTN사이언스,[코로나19 브리핑] 또다시 2천 명대…연휴 앞두고 촉각,2021-10-06,https://science.ytn.co.kr/program/program_view.php?s_mcd=0082&s_hcd=&key=202110061604544262,코로나 생활지표
뉴스1,"구광모 ""재무지표 보다 고객가치 우선""…사장단 워크숍서 혁신 주문",2021-10-02,https://www.news1.kr/articles/?4449308,코로나 생활지표
헤럴드경제,한국민들 긴 코로나 잘 견딘 이유…심리방역 무려158만건,2021-10-05,http://news.heraldcorp.com/view.php?ud=20211004000158,코로나 생활지표
서울신문,코로나 4차 유행에도…소비심리 석달 만에 반등,2021.09.28.,https://www.seoul.co.kr/news/newsView.php?id=20210928500079&wlog_tag3=naver,코로나 생활지표
동아일보,[파워인터뷰]“이달 ‘일상회복 지원위’ 출범… 위드 코로나 의견 수렴 나설...,A27면 TOP,https://www.donga.com/news/article/all/20211004/109546816/1,코로나 생활지표
뉴스1,"대한항공, 코로나에도 실적 '이상無'…""항공 화물 운임 사상 최대""",2021-10-03,https://www.news1.kr/articles/?4449776,코로나 생활지표
파이낸셜뉴스,코로나19 상황 속 공공도서관 일평균 대출 권수 38% 증가,2021.09.27.,http://www.fnnews.com/news/202109270853587837,코로나 생활지표
시사저널이코노미,'위드코로나' 실현 확진자 조건 놓고 전문가 의견 갈려,2021-10-06,http://www.sisajournal-e.com/news/articleView.html?idxno=237515,코로나 생활지표
세계일보,"정부, 주요 방역지표 '확진자'→'위중증률·치명률' 변경 방안 검토",2021.09.29.,http://www.segye.com/content/html/2021/09/28/20210928514534.html?OutUrl=naver,코로나 생활지표
한겨레,"‘위드 코로나’는 작별 아닌 공존, 바이러스와 전투는 계속된다",2021-10-02,https://www.hani.co.kr/arti/society/society_general/1013613.html,코로나 생활지표
세계일보,“이젠 위드코로나”… 소비심리 석 달 만에 반등,A16면 1단,http://www.segye.com/content/html/2021/09/28/20210928515131.html?OutUrl=naver,코로나 생활지표
이투데이,"소비자심리는 이미 '위드코로나', 석달만 반등..인플레압력 지속",2021.09.28.,https://www.etoday.co.kr/news/view/2064779,코로나 생활지표
YTN,"[뉴스라이브] ""거리두기 지속 힘들다""...11월 초 '위드 코로나'",2021-09-30,https://www.ytn.co.kr/_ln/0103_202109291014353826,코로나 생활지표
이데일리,"코로나 4차 대유행에도 9월 소비자 심리지수, 석 달 만에 반등",2021.09.28.,http://www.edaily.co.kr/news/newspath.asp?newsid=01180806629184712,코로나 생활지표
조선일보,"부산 코로나 진정세라지만… 9월 확진 1323명, 月기준 역대 3번째",2021-10-01,https://www.chosun.com/national/regional/yeongnam/2021/09/30/VK4JH65V5ZGDRP767RQNTW7IXI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활지표
한국강사신문,코로나19 상황 속 공공도서관 일평균 대출 권수 증가,2021-10-02,http://www.lecturernews.com/news/articleView.html?idxno=77216,코로나 생활지표
SBS Biz,코로나 4차 유행에도 소비심리 3개월 만에 반등,2021.09.28.,https://biz.sbs.co.kr/article_hub/20000032298?division=NAVER,코로나 생활지표
파이낸셜뉴스,"'위드 코로나' 연기되나..정은경 ""내주까지 상황 보고 판단""",2021.09.25.,http://www.fnnews.com/news/202109251634152583,코로나 생활지표
에너지경제,"정부 ""위드 코로나 때 사적모임·다중이용시설 거리두기 완화 검토""",2021.09.28.,https://www.ekn.kr/web/view.php?key=20210928010004335,코로나 생활지표
조선일보,"[기고] ‘위드 코로나’ 시대, 중환자 기준으로 방역 정책 개편해야",A33면 1단,https://www.chosun.com/opinion/contribution/2021/09/28/GPWASY5LGNCK7GHXORJO3TWYBI/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활지표
베이비뉴스,"""코로나19 이후 향후 10년 뒤, 1000만 명 여자어린이 조혼 위험에 처할수도""",2021-10-06,https://www.ibabynews.com/news/articleView.html?idxno=98839,코로나 생활지표
헬스조선,코로나 2년... 코로나19 의료진 ‘번 아웃’ 어떻게 해결할까?,2021.09.24.,https://health.chosun.com/site/data/html_dir/2021/09/24/2021092401502.html,코로나 생활지표
머니S,코로나 뚫고 쾌속 질주하는 K-뷰티… 신화 다시 쓴다,2021.09.23.,http://moneys.mt.co.kr/news/mwView.php?no=2021091718068079004,코로나 생활지표
이뉴스투데이,"서울시, 29일 포스트코로나 시대 청년실업 해결방안모색 연속 포럼",2021.09.28.,http://www.enewstoday.co.kr/news/articleView.html?idxno=1514806,코로나 생활지표
뉴시스,"LG생활건강, 동반성장지수 7년 연속 최우수",2021.09.15.,http://www.newsis.com/view/?id=NISX20210915_0001584790&cID=13001&pID=13000,코로나 생활지표
한국일보,확진자 주간 발표? 코로나 유행주의보? …'위드 코로나' 논의 시작,2021.09.23.,https://hankookilbo.com/News/Read/A2021092321580004000?did=NA,코로나 생활지표
노컷뉴스,"'위드 코로나' 전환해도…""예전으로는 못 돌아가""",2021.09.20.,https://www.nocutnews.co.kr/news/5627256,코로나 생활지표
중앙일보,[장덕진의 퍼스펙티브] 내년 3월 대선까지 ‘위드 코로나’ 전환 쉽지 않을 듯,A25면 1단,https://www.joongang.co.kr/article/25009867,코로나 생활지표
머니S,"건강·식품·뷰티, 수출 활기에 내수 회복… 코로나 터널의 출구 보인다",2021.09.23.,http://moneys.mt.co.kr/news/mwView.php?no=2021091718158036833,코로나 생활지표
뉴스1,‘코로나 확산 불구’ 대전·충남 9월 소비심리 103.7…3개월 만에 ‘반등’,2021-09-30,https://www.news1.kr/articles/?4447559,코로나 생활지표
인천일보,[환경칼럼] 코로나19와 고통 받는 노인들,2021.09.27.,http://www.incheonilbo.com/news/articleView.html?idxno=1113869,코로나 생활지표
아주경제,"[이슈진단] 코로나發 노란우산의 역설… 소상공인, '해지·가입' 모두 늘었다",2021.09.27.,http://www.ajunews.com/view/20210926045055898,코로나 생활지표
세계일보,씨 마른 일자리에… 직장 못 구한 청년들 ‘평생 알바’ 불안감 [연중기획 - ...,A8면 1단,http://www.segye.com/content/html/2021/09/22/20210922508684.html?OutUrl=naver,코로나 생활지표
건설타임즈,주요 지표 고공행진 창원 국가산단에 신규 지식산업센터 공급,2021.09.27.,http://www.constimes.co.kr/news/articleView.html?idxno=225331,코로나 생활지표
조선일보,먹는 코로나 치료제 1인당 90만원? 정부 “입원치료 비용 따져보면…”,2021.09.10.,https://www.chosun.com/national/welfare-medical/2021/09/10/FUYXVJBIEBA7VI2VF3VU4XDCVA/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,코로나 생활지표
SBS,[뉴스쉽] '위드 코로나'로 전환 시도?…'노 마스크'는 아니다,2021.09.11.,https://news.sbs.co.kr/news/endPage.do?news_id=N1006461356&plink=ORI&cooper=NAVER,코로나 생활지표
전민일보,코로나 공포감도 무뎌져...전북지역 소비심리 3개월만에 '반등',2021.09.28.,http://www.jeonmin.co.kr/news/articleView.html?idxno=339841,코로나 생활지표
MBC,[뉴스외전 코로나 브리핑] 환자 폭증‥코로나 정점은 다음주?,2021.09.24.,https://imnews.imbc.com/replay/2021/nw1400/article/6302687_34915.html,코로나 생활지표
머니투데이,"與, 정부에 '위드코로나' 제안…""과도한 거리두기 의존 전환해야""",2021.09.23.,http://news.mt.co.kr/mtview.php?no=2021092316425350525,코로나 생활지표
새전북신문,"[사설]소상공인 줄폐업, 위드 코로나 목소리",2021.09.27.,http://sjbnews.com/news/news.php?number=724321,코로나 생활지표
YTN,[뉴스라이브] 코로나 신규 확진 1700명 대...추석 연휴 여파는,2021.09.23.,https://www.ytn.co.kr/_ln/0103_202109230947137272,코로나 생활지표
이데일리,"코로나 4차 확산 여파…정부 ""내수 불확실성 지속""",2021.09.17.,http://www.edaily.co.kr/news/newspath.asp?newsid=01771206629181104,코로나 생활지표
오마이뉴스,"경기도 생활임금, 서울시 역전... 이재명 ""최저임금 마중물""",2021.09.18.,http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002774984&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,코로나 생활지표
이데일리,국가도 신용대출을 하나요…새 투자지표로 뜨는 ESG란?,2021.09.20.,http://www.edaily.co.kr/news/newspath.asp?newsid=01485846629182088,코로나 생활지표
경남신문,"코로나 19로 힘든 경남지역 자영업자, 노란우산 폐업 공제금 지급 전국 4번째...",2021.09.23.,http://www.knnews.co.kr/news/articleView.php?idxno=1360418,코로나 생활지표
ZDNet Korea,희생과 헌신 중심의 방역 한계…위드 코로나 앞당기는 대응체계로 전환해야,2021.09.24.,https://zdnet.co.kr/view/?no=20210923155216,코로나 생활지표
아주경제,"이통3사, 동반성장지수 ‘최우수’...“코로나19 위기 상생 극복”",2021.09.15.,http://www.ajunews.com/view/20210915113423826,코로나 생활지표
청년일보,"[지난주 의료·제약 주요이슈] 코로나19 치료제 개발 중단한 부광약품 ""효과입...",2021-10-03,http://www.youthdaily.co.kr/news/article.html?no=82499,코로나 생활지표
AI타임스,"[스페셜 리포트]③코로나19의 비대면 경험, 대면시대 회귀 이전 마지막 기술적...",2021-09-30,http://www.aitimes.com/news/articleView.html?idxno=140793,코로나 생활지표
YTN,"""10월 말부터 '위드 코로나' 가능""...국민 70% 이상 찬성",2021.09.07.,https://www.ytn.co.kr/_ln/0103_202109072154393644,코로나 생활지표
헤럴드경제,"경기도, ‘2022년도 생활임금’ 1만1141원 확정…10일 고시",2021.09.09.,http://news.heraldcorp.com/view.php?ud=20210909000027,코로나 생활지표
노컷뉴스,국민 10명 중 7명 '일상 속 코로나19' 전환에 찬성,2021.09.07.,https://www.nocutnews.co.kr/news/5620295,코로나 생활지표
안전신문,"[기고-김상영]코로나19 팬데믹 시대, 미래에 유념해야 할 것들",2021-10-01,https://www.safetynews.co.kr/news/articleView.html?idxno=208075,코로나 생활지표
뉴스1,'한국형 위드 코로나' 논의 본격화…우리 일상 어디서부터 바뀔까,2021.09.09.,https://www.news1.kr/articles/?4428811,코로나 생활지표
뉴스1,'위드 코로나' 3가지 조건…'접종완료 80%↑·변이·사회적 합의',2021.09.07.,https://www.news1.kr/articles/?4426211,코로나 생활지표
헤럴드경제,코로나19로 찾아뵙지 못하는 부모님…영상 통화로 건강 체크하기,2021.09.20.,http://news.heraldcorp.com/view.php?ud=20210917000798,코로나 생활지표
경기도민일보,"경기도 확진자 첫 700명대, 인천 140명…사회적 거리두기 4단계·'위드 코로나...",2021.09.24.,http://www.kgdm.co.kr/news/articleView.html?idxno=788713,코로나 생활지표
뉴시스,코로나19 이후 경기 청소년 활동량 뚝...정신건강 상태는 ↑,2021.09.13.,http://www.newsis.com/view/?id=NISX20210913_0001581330&cID=10803&pID=14000,코로나 생활지표
한국경제,수도권 코로나 확진…1주일 새 11% 증가,A19면 1단,https://www.hankyung.com/society/article/2021091739581,코로나 생활지표
YTN,코로나19 이후 경제상황 청년일자리가 관건 (성태윤 연세대 경제학과교수),2021.09.08.,https://www.ytn.co.kr/_ln/0103_202109081758461893,코로나 생활지표
매경헬스,"[기업단신] LG생활건강, '후 궁중 문화 캠페인' 디지털 전개 외",2021.09.13.,http://www.mkhealth.co.kr/news/articleView.html?idxno=54852,코로나 생활지표
KBS,코로나19 속 줄어든 ‘극단적 선택’…왜?,2021.09.11.,https://news.kbs.co.kr/news/view.do?ncd=5277720&ref=A,코로나 생활지표
KBS,코로나19 속 줄어든 ‘극단적 선택’…왜?,2021.09.10.,https://news.kbs.co.kr/news/view.do?ncd=5277517&ref=A,코로나 생활지표
매경헬스,"동반위, 삼성전자·LG생활건강 등 헬스케어 기업 '동반성장지수' 평가 발표",2021.09.15.,http://www.mkhealth.co.kr/news/articleView.html?idxno=54900,코로나 생활지표
BBS NEWS,"다사랑복합문화예술회관, 100세시대 건강한 노후생활 실천한다",2021.09.17.,https://news.bbsi.co.kr/news/articleView.html?idxno=3044789,코로나 생활지표
YTN,"[더뉴스] 정부 ""단계적 일상 회복...위드 코로나 용어 자제""",2021.09.06.,https://www.ytn.co.kr/_ln/0103_202109061435447701,코로나 생활지표
국제뉴스,"강서생활, 조사하면 업그레이드!",2021.09.08.,http://www.gukjenews.com/news/articleView.html?idxno=2304772,코로나 생활지표
JTBC,'위드 코로나' 메시지 탓에 긴장감 풀렸나…수도권 역대 최다 확진,2021.09.08.,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12023070,코로나 생활지표
YTN,'민족 대이동' 코 앞...'위드 코로나' 출발할 수 있을까?,2021.09.12.,https://www.ytn.co.kr/_ln/0103_202109121644096257,코로나 생활지표
아이티비즈,"직업기초능력평가 '틴업', 다양한 기초능력 핵심 지표로 활용",2021.09.16.,http://www.it-b.co.kr/news/articleView.html?idxno=52757,코로나 생활지표
뉴스토마토,(영상)코로나19 대면 서비스 중심 불확실성 지속…물가 상승 압력↑,2021.09.17.,http://www.newstomato.com/ReadNews.aspx?no=1074731&inflow=N,코로나 생활지표
더피알,"포스트 코로나 대비, 신뢰를 높이는 브랜드 커뮤니케이션",2021.09.24.,http://www.the-pr.co.kr/news/articleView.html?idxno=47681,코로나 생활지표
이투데이,코로나 4차 유행에도 고용 개선 지속…왜?,2021.09.06.,https://www.etoday.co.kr/news/view/2059818,코로나 생활지표
뉴스프리존,[국내 코로나19 현황] 21시기준 전 날보다 232명 줄어 2070명 발생,2021-10-02,http://www.newsfreezone.co.kr/news/articleView.html?idxno=338536,코로나 생활지표
핀포인트뉴스,"""토종 '먹는' 치료제 내년쯤…효과 중요""…코로나19 경구용 치료제 가시화",2021.09.19.,http://www.pinpointnews.co.kr/view.php?ud=202109190711326931cd1e7f0bdf_45,코로나 생활지표
YTN,"[뉴스라이브] ""10명 중 6명 찬성""...'위드 코로나' 가기 위한 출구 전략은?",2021.09.06.,https://www.ytn.co.kr/_ln/0103_202109061019248759,코로나 생활지표
경북일보,"한민정 정의당 대구시당위원장 ""코로나19 기억의 공간 조성 사업 부적절""",2021.09.16.,http://www.kyongbuk.co.kr/news/articleView.html?idxno=2083723,코로나 생활지표
KBS,"[주진우 라이브] 임승관 “위드코로나든 K-방역이든 확진자는 늘어날 것, 이제...",2021.09.21.,https://news.kbs.co.kr/news/view.do?ncd=5284220&ref=A,코로나 생활지표
뉴스토마토,위드 코로나 시대…필수된 건강관리가전,2021.09.19.,http://www.newstomato.com/ReadNews.aspx?no=1074900&inflow=N,코로나 생활지표
팩트TV,與 의원들 “코로나19 장기화에 희생·헌신 임계점…'위드 코로나' 전환하자”,2021.09.23.,http://facttv.kr/facttvnews/detail.php?number=32440&thread=21r02,코로나 생활지표
핀포인트뉴스,코로나 근절 '비장의 무기' 뭐가 있나?... 치료제 개발 대웅제약 부광약품 신...,2021.09.20.,http://www.pinpointnews.co.kr/view.php?ud=202109200554332018861beb2d9d_45,코로나 생활지표
경기일보,"'SNS대상' 받았다는 경기硏 블로그, 수상 이후 '경기도 주요지표' 카테고리 운...",2021.09.15.,http://www.kyeonggi.com/news/articleView.html?idxno=2381298,코로나 생활지표
쿠키뉴스,"[남부경남] 거제시, 추석 연휴 생활폐기물 처리대책 마련",2021.09.08.,http://www.kukinews.com/newsView/kuk202109080311,코로나 생활지표
미디어제주,제주 코로나19 일일 신규 확진 나흘째 한 자릿수,2021.09.07.,http://www.mediajeju.com/news/articleView.html?idxno=332443,코로나 생활지표
충청투데이,'위드 코로나' 방역체계 전환 대선 중대변수 되나,2021.09.09.,https://www.cctoday.co.kr/news/articleView.html?idxno=2149286,코로나 생활지표
서울신문,"강서, 주민생활 업그레이드 위한 사회조사 실시",12면 1단,https://www.seoul.co.kr/news/newsView.php?id=20210909012005&wlog_tag3=naver,코로나 생활지표
중소기업뉴스,"""악착같이 일해도 생계 막막… 한시 급한 위드 코로나 대책""",2021.09.06.,http://www.kbiznews.co.kr/news/articleView.html?idxno=86115,코로나 생활지표
중기이코노미,"국민절반, 일상 속 코로나 전환 2차 접종 70%",2021.09.07.,http://www.junggi.co.kr/article/articleView.html?no=27453,코로나 생활지표
메트로신문,"가전업계, 위드 코로나 및 원자재값·해운 운임 상승에 하반기 전망 ‘흐림’",2021.09.23.,http://www.metroseoul.co.kr/article/20210923500247,코로나 생활지표
핀포인트뉴스,"'먹고, 뿌리는' 코로나19 치료제…개발 박차",2021.09.07.,http://www.pinpointnews.co.kr/view.php?ud=202109070702325555cd1e7f0bdf_45,코로나 생활지표
시사오늘,[이병도의 時代架橋] 서민생활 악화 vs 경제위기 도화선…雪上加霜,2021.09.11.,http://www.sisaon.co.kr/news/articleView.html?idxno=131476,코로나 생활지표
매경헬스,"위드코로나, 전 국민 70% 이상 2차 접종해야 가능",2021.09.13.,http://www.mkhealth.co.kr/news/articleView.html?idxno=54861,코로나 생활지표
아시아타임즈,[16일 서울 관악구 소식] 생활문화 프로그램 '관악아지트 들락날락' 운영 등,2021.09.16.,https://www.asiatime.co.kr/article/20210916500274,코로나 생활지표
뉴시스,"양천구, 전국 기초자치단체 ESG 평가지수서 '종합 1위'",2021-10-06,http://www.newsis.com/view/?id=NISX20211006_0001605060&cID=10201&pID=10200,코로나 생활지표
톱스타뉴스,코로나19 신규확진자 1천700∼800명대 예상…오늘부터 거리두기 2주 재연장,2021-10-04,http://www.topstarnews.net/news/articleView.html?idxno=14635375,코로나 생활지표
백세시대,"LG생활건강, 7년 연속 동반성장지수 최우수 획득",2021.09.15.,http://www.100ssd.co.kr/news/articleView.html?idxno=80739,코로나 생활지표
뉴시스,코로나19 이후 경기 청소년 활동량 뚝...정신건강 상태는 ↑,2021.09.13.,http://www.newsis.com/view/?id=NISX20210913_0001581330&cID=10803&pID=14000,코로나 생활지표
e대한경제,경기도 2022년도 생활임금 1만 1141원 확정 고시,2021.09.09.,https://www.dnews.co.kr/uhtml/view.jsp?idxno=202109091003371570497,코로나 생활지표
