키워드,언론사,기사명,날짜,URL
파이낸셜뉴스,[속보]코로나 신규 확진자 2427명…수도권 비중 78.4%,1분 전,http://www.fnnews.com/news/202110070925096401,코로나
뉴시스,"경기도, 코로나19 피해 관광업체 500여곳 임차료 지원",3분 전,http://www.newsis.com/view/?id=NISX20211007_0001605609&cID=10803&pID=14000,코로나
매일경제,"[단독] ""코로나 끝나면 수요 폭발한다""…여기어때, 온라인투어 500억 투자한다",15분 전,http://news.mk.co.kr/newsRead.php?no=949956&year=2021,코로나
뉴스1,16~17세 코로나19 백신 예약률 첫날 20.8%(상보),2021-10-06,https://www.news1.kr/articles/?4453552,코로나
MBC,"IMF ""세계 물가상승률 가을 정점‥내년에 코로나 이전수준""",2021-10-07,https://imnews.imbc.com/news/2021/econo/article/6305486_34887.html,코로나
MBC,[World Now] 코로나에도 돈 긁어모은 미국 슈퍼리치들..자산 '40%' 증가,2021-10-06,https://imnews.imbc.com/news/2021/world/article/6305277_34880.html,코로나
SBS,"""코로나 먹는 치료제 2만 명분 확보…추가 물량 협상 중""",2021-10-06,https://news.sbs.co.kr/news/endPage.do?news_id=N1006488495&plink=ORI&cooper=NAVER,코로나
매일신문,"대구소방, 코로나 의심 환자 이송 '전국 3위'",2021-10-06,https://news.imaeil.com/page/view/2021100616523838179,코로나
경향신문,[속보]코로나19 오후 6시까지 1561명 확진…어제보다 87명 늘어,2021-10-06,https://www.khan.co.kr/national/health-welfare/article/202110061937001,코로나
이데일리,"보험사 CEO들 ""코로나 영향 2023년까지 간다""(종합)",2021-10-06,http://www.edaily.co.kr/news/newspath.asp?newsid=02899526629210296,코로나
국민일보,한국 위드코로나 청사진 나왔다… ‘10월 말 11월 초’,2021-10-06,http://news.kmib.co.kr/article/view.asp?arcid=0016336325&code=61171811&cp=nv,코로나
뉴시스,"WHO ""대북 코로나19 지원용품, 中 다롄항 통해 운송 시작""",2021-10-07,http://www.newsis.com/view/?id=NISX20211007_0001605360&cID=10101&pID=10100,코로나
서울신문,코로나19 소상공인 손실보상 이달말 지급,2021-10-06,https://www.seoul.co.kr/news/newsView.php?id=20211006500103&wlog_tag3=naver,코로나
서울신문,"코로나 사망자, ‘화장’이 최선입니까",1면 1단,https://www.seoul.co.kr/news/newsView.php?id=20211006001007&wlog_tag3=naver,코로나
매일신문,"대구소방, 코로나 의심 환자 이송 '전국 3위'",2021-10-06,https://news.imaeil.com/page/view/2021100616523838179,코로나
뉴시스,"경기도, 코로나19 피해 관광업체 500여곳 임차료 지원",3분 전,http://www.newsis.com/view/?id=NISX20211007_0001605609&cID=10803&pID=14000,코로나
경향신문,코로나19 오후 9시까지 2101명 확진…7일 2300명 안팎 예상,2021-10-06,https://www.khan.co.kr/national/health-welfare/article/202110062213001,코로나
이데일리,코로나 4단계 상황에 軍수방사서 10~30명 음주 회식 논란,2021-10-06,http://www.edaily.co.kr/news/newspath.asp?newsid=03772006629210296,코로나
