날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,1383.65,1387.71,1371.58,1374.15,9010504,532802332081
2020-01-21,1372.6,1373.66,1357.69,1359.06,7440380,472769881730
2020-01-22,1363.77,1400.86,1360.83,1400.09,11926016,847095036960
2020-01-23,1413.01,1426.26,1402.41,1419.82,14278713,1016750483890
2020-01-28,1388.76,1394.6,1373.67,1377.57,16832732,1032452877495
2020-01-29,1381.08,1383.46,1360.54,1375.63,10994086,702520632675
2020-01-30,1372.11,1376.94,1346.78,1352.38,10778738,616065218095
2020-01-31,1358.92,1362.92,1326.24,1326.24,10757832,566597916605
2020-02-03,1300.81,1322.69,1289.93,1314.02,12821351,712455874600
2020-02-04,1316.36,1328.89,1309.07,1323.18,11384373,630299908213
2020-02-05,1324.52,1326.21,1313.74,1316.68,11360753,558423043315
2020-02-06,1330.96,1378.68,1330.55,1373.69,13380574,735025699390
2020-02-07,1363.07,1364.94,1347.85,1360.59,30441365,2281909019355
2020-02-10,1343.21,1360.28,1339.96,1354.37,7649421,391896226675
2020-02-11,1365.41,1396.36,1364.27,1383.86,10942260,555868541265
2020-02-12,1383.8,1412.1,1382.89,1407.41,18087992,674052631595
2020-02-13,1404.86,1412.02,1384.89,1387.2,13332663,641937855515
2020-02-14,1375.37,1396.81,1372.01,1383.48,10013167,446158576327
2020-02-17,1383.72,1385.01,1361.3,1376.98,8930567,468002724420
2020-02-18,1368.51,1377.77,1354.79,1358.9,9181876,469690395612
2020-02-19,1366.72,1369.69,1346.17,1352.27,8921427,465382755670
2020-02-20,1357.54,1358.43,1329.37,1331.15,10184572,523083869070
2020-02-21,1313.4,1325.51,1306.15,1310.42,15339882,498243236978
2020-02-24,1276.6,1283.58,1254.64,1255.71,14530924,613649263138
2020-02-25,1254.69,1278.18,1253.19,1265.37,11807299,541359806435
2020-02-26,1245.26,1269.2,1243.23,1260.11,12493932,526229274655
2020-02-27,1263.11,1267.98,1247.07,1251.61,10501401,484047643497
2020-02-28,1226.19,1233.63,1198.01,1203.52,17517905,784948387880
2020-03-02,1190.78,1209.0,1187.25,1194.36,13272305,640973468096
2020-03-03,1219.98,1224.03,1186.73,1190.49,11815457,546290020625
2020-03-04,1196.55,1217.1,1194.55,1211.46,11766751,522725935509
2020-03-05,1225.9,1232.79,1215.46,1228.45,28906698,639218073375
2020-03-06,1214.83,1218.05,1188.25,1192.64,15523904,588337640950
2020-03-09,1161.73,1164.65,1138.91,1143.14,15494212,587028037805
2020-03-10,1138.14,1148.34,1126.06,1131.23,15985382,720344844536
2020-03-11,1137.75,1142.19,1107.78,1114.29,13541620,572566046828
2020-03-12,1117.16,1119.11,1052.97,1062.92,22336907,877439297466
2020-03-13,1002.43,1023.46,959.27,1004.12,29916344,1186575758165
2020-03-16,1024.24,1024.24,966.92,968.03,16450673,633576991220
2020-03-17,920.92,963.33,920.33,940.89,19343979,679102626965
2020-03-18,944.73,946.74,880.35,882.5,18587237,706303167780
2020-03-19,902.58,903.95,791.02,802.18,26302461,791978574020
2020-03-20,818.93,853.52,784.37,853.33,26654976,745890712310
2020-03-23,798.05,817.22,780.21,791.25,19155207,562231446780
2020-03-24,814.44,854.99,801.12,854.89,20653989,663902805000
2020-03-25,884.51,950.61,884.04,947.92,28275126,1094569040640
2020-03-26,944.05,983.73,927.85,942.3,25794559,986113339304
2020-03-27,990.63,990.63,932.81,956.63,20734860,784387514500
2020-03-30,924.0,949.58,910.85,938.72,15885082,571898324765
2020-03-31,956.03,963.96,939.47,963.96,23322076,679087463585
2020-04-01,949.61,968.91,928.93,932.77,18455739,604754189645
2020-04-02,933.93,946.19,914.04,943.04,16659040,513510372810
2020-04-03,936.55,944.82,926.48,935.81,12753715,421430170940
2020-04-06,943.92,978.95,939.99,977.18,25177491,552334071560
2020-04-07,1001.41,1015.28,983.55,1005.84,31688757,860843217503
2020-04-08,999.71,1026.11,989.26,1002.01,20657123,729221801618
2020-04-09,1021.21,1050.77,1016.97,1048.67,24990116,996660036814
2020-04-10,1051.83,1074.62,1043.69,1072.26,20848237,843015637940
2020-04-13,1054.84,1060.42,1038.9,1038.95,15950813,497691784168
2020-04-14,1049.77,1062.59,1039.98,1053.73,12827658,482426164030
2020-04-16,1041.64,1052.44,1025.45,1045.87,16323628,574579401982
2020-04-17,1064.28,1084.17,1062.13,1072.41,22391068,776549561831
2020-04-20,1068.41,1082.22,1059.03,1063.69,19153150,714279898582
2020-04-21,1056.07,1058.81,1023.28,1044.92,20540224,857820219080
2020-04-22,1022.99,1046.8,1009.39,1044.08,20329235,732638332324
2020-04-23,1047.14,1065.17,1043.13,1051.29,17733081,686560212020
2020-04-24,1048.26,1050.7,1023.6,1026.11,14892347,596122822750
2020-04-27,1029.4,1052.25,1028.02,1044.52,13471583,543057318031
2020-04-28,1053.07,1069.91,1047.11,1064.45,18471154,753096834459
2020-04-29,1066.03,1082.89,1059.73,1079.03,17878309,728071771095
2020-05-04,1051.42,1064.77,1043.06,1047.71,16100684,613840775815
2020-05-06,1066.24,1073.81,1052.8,1069.08,12520673,519134653360
2020-05-07,1059.63,1065.41,1051.96,1057.26,11126296,437381077576
2020-05-08,1070.33,1089.55,1067.49,1082.35,18712171,689381133065
2020-05-11,1089.31,1094.93,1069.87,1071.85,19448323,755939584025
2020-05-12,1069.0,1069.82,1042.3,1047.77,19703956,630126196346
2020-05-13,1030.14,1052.27,1028.68,1052.0,15385386,508086665171
2020-05-14,1045.7,1046.19,1031.88,1039.74,13935898,496022936580
2020-05-15,1043.59,1045.08,1030.4,1044.84,11651171,413390704920
2020-05-18,1048.85,1048.85,1033.22,1044.41,15663351,398823755385
2020-05-19,1079.27,1108.53,1075.47,1107.14,39984736,1336361654851
2020-05-20,1093.4,1106.33,1092.76,1101.21,21669748,648083963565
2020-05-21,1115.42,1116.91,1099.4,1104.64,18937276,613740780730
2020-05-22,1104.7,1108.0,1077.28,1083.26,13543612,544273961105
2020-05-25,1089.61,1093.03,1074.14,1091.99,10373342,412060040805
2020-05-26,1094.01,1127.8,1093.91,1126.16,17475018,698174955790
2020-05-27,1130.37,1136.87,1120.57,1130.94,20472168,715919233165
2020-05-28,1131.66,1134.18,1103.43,1110.1,19927663,692780234202
2020-05-29,1107.3,1139.9,1102.47,1130.24,23758536,855745906800
2020-06-01,1132.1,1159.58,1130.4,1156.36,16218045,622399972355
2020-06-02,1149.01,1194.7,1145.45,1187.05,20326206,807309359805
2020-06-03,1207.31,1242.0,1206.76,1226.52,27938242,1225080686005
2020-06-04,1251.57,1256.11,1213.37,1221.9,25019139,1078040593675
2020-06-05,1220.12,1243.76,1206.28,1238.39,19397682,751160626891
2020-06-08,1264.4,1266.93,1239.7,1247.12,26206626,709971887885
2020-06-09,1255.73,1264.51,1223.61,1234.88,22856594,666425989675
2020-06-10,1226.41,1228.81,1213.7,1227.22,15365025,605176488910
2020-06-11,1213.19,1229.16,1189.51,1205.12,23308325,936626366400
2020-06-12,1148.18,1173.88,1143.38,1173.12,19002722,879759662586
2020-06-15,1154.83,1161.84,1105.21,1105.21,20988163,1205779242355
2020-06-16,1141.62,1170.52,1133.64,1170.42,15385303,881741192828
2020-06-17,1162.05,1170.22,1140.68,1155.3,14231740,728988685485
2020-06-18,1143.99,1167.53,1136.07,1152.34,10572544,531257985315
2020-06-19,1166.49,1167.18,1138.11,1141.42,11350749,559432702515
2020-06-22,1132.26,1136.93,1121.0,1121.1,10105500,477274936380
2020-06-23,1131.5,1146.45,1111.67,1130.1,12784624,661486236440
2020-06-24,1141.34,1176.43,1140.53,1161.45,12368817,733101109210
2020-06-25,1134.2,1141.03,1121.67,1122.62,11552840,568748107035
2020-06-26,1132.13,1140.69,1123.5,1135.51,31888038,718521985176
2020-06-29,1116.63,1125.51,1106.68,1109.37,13611151,509653959025
2020-06-30,1124.45,1135.36,1119.32,1120.05,31926328,1077612558955
2020-07-01,1130.32,1134.38,1114.39,1118.17,16605233,538865300310
2020-07-02,1123.93,1131.88,1121.64,1130.07,10802582,514489399265
2020-07-03,1135.68,1139.96,1122.94,1129.37,8736483,431586028342
2020-07-06,1131.98,1158.98,1123.2,1153.56,13512852,575833721380
2020-07-07,1157.04,1161.37,1135.92,1137.92,14857202,617613177057
2020-07-08,1136.81,1151.04,1136.81,1139.07,11305364,476120455504
2020-07-09,1141.82,1148.23,1132.48,1132.9,12949270,624240139097
2020-07-10,1128.54,1128.54,1105.6,1109.13,11878216,496258921505
2020-07-13,1116.47,1145.99,1111.82,1144.68,10530853,523974523463
2020-07-14,1136.41,1153.13,1127.89,1152.58,9469944,503203195930
2020-07-15,1173.79,1202.37,1173.79,1184.96,18816872,1127749525549
2020-07-16,1193.89,1204.55,1181.75,1186.56,14677056,852271740816
2020-07-17,1187.6,1223.99,1187.6,1219.86,14749409,918597631790
2020-07-20,1229.31,1248.13,1218.18,1234.13,16348419,1030976709945
2020-07-21,1234.61,1243.96,1215.8,1225.49,15969147,916955628430
2020-07-22,1225.07,1236.73,1205.12,1206.04,13895902,717277661439
2020-07-23,1196.9,1220.73,1183.56,1212.99,16667196,1040767900405
2020-07-24,1197.53,1225.12,1192.15,1194.11,14120890,941199075023
2020-07-27,1195.74,1220.11,1194.91,1201.96,11542594,616714915990
2020-07-28,1205.47,1214.79,1197.72,1204.71,11948161,617628910025
2020-07-29,1194.67,1231.7,1186.4,1229.79,15600659,741123386970
2020-07-30,1239.57,1257.2,1235.68,1246.14,30375474,1146488938281
2020-07-31,1249.55,1252.85,1224.04,1225.92,40637218,1108901796130
2020-08-03,1226.1,1226.26,1203.54,1213.42,18767227,769754975868
2020-08-04,1228.55,1249.56,1225.52,1242.1,16281231,810982257920
2020-08-05,1242.1,1254.73,1240.83,1253.29,16926835,804072260365
2020-08-06,1267.56,1305.71,1267.56,1302.96,19140758,1251633703075
2020-08-07,1310.19,1325.19,1292.43,1308.93,19246286,1145466289285
2020-08-10,1324.56,1411.73,1324.56,1399.04,31214964,2470813983475
2020-08-11,1415.66,1443.79,1380.46,1438.94,28022481,2094737666132
2020-08-12,1419.29,1446.36,1414.34,1435.84,52517270,2382631847045
