날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,338.35,341.67,337.1,339.18,6761048,138366907240
2020-01-21,339.69,340.55,338.23,340.17,3833747,56188095965
2020-01-22,340.5,342.29,339.09,342.29,2790040,69934289835
2020-01-23,340.94,341.16,338.58,340.07,3329787,76706553525
2020-01-28,332.89,334.87,330.9,332.97,4378367,130429499935
2020-01-29,332.61,335.1,330.89,334.13,3349589,71110759135
2020-01-30,334.41,334.64,329.05,329.42,3531648,108138700790
2020-01-31,330.73,331.88,327.9,329.3,3187220,88983230175
2020-02-03,327.42,327.48,322.68,324.16,4351567,103278763360
2020-02-04,323.85,326.33,322.28,324.88,3369992,97539040285
2020-02-05,325.15,326.53,323.38,324.77,3761585,92613950580
2020-02-06,326.99,333.01,326.63,330.74,6118077,118022366345
2020-02-07,331.05,331.96,328.2,331.04,5931308,115645919125
2020-02-10,328.25,331.16,327.7,328.97,5058175,110519590090
2020-02-11,329.91,330.71,327.15,327.89,7072102,120553403985
2020-02-12,327.26,332.46,326.69,331.86,4189455,110675191485
2020-02-13,331.57,337.26,331.11,333.72,5739844,168708188085
2020-02-14,334.04,336.21,330.87,332.34,3930033,92728315840
2020-02-17,333.76,334.65,332.08,333.49,2452786,52601145070
2020-02-18,331.8,332.23,329.88,331.44,3458677,81996656945
2020-02-19,332.68,332.77,328.85,330.6,2613405,69521391090
2020-02-20,331.08,331.08,326.84,327.53,2920290,80154464885
2020-02-21,325.4,326.35,321.92,323.33,3024470,86715383020
2020-02-24,317.8,320.59,314.77,318.44,4962926,136254335875
2020-02-25,316.79,319.11,315.34,318.32,4141528,101023372943
2020-02-26,314.76,316.45,312.67,315.58,4158416,106083288210
2020-02-27,314.19,317.2,313.22,317.2,4104554,87663800060
2020-02-28,313.9,316.53,307.36,310.52,14466639,254400173190
2020-03-02,308.99,310.07,303.62,304.17,4475673,117177598600
2020-03-03,307.68,308.11,302.01,302.95,4273973,100775143955
2020-03-04,304.05,315.69,303.12,315.69,3642541,123075934360
2020-03-05,319.61,322.47,315.77,320.01,4327615,140076883331
2020-03-06,315.95,319.96,315.52,319.83,3359110,127822506480
2020-03-09,313.02,316.55,311.36,313.92,3443882,105901969325
2020-03-10,311.88,313.93,310.03,313.56,3357241,84581792825
2020-03-11,312.69,313.12,306.99,310.15,3572059,95276712555
2020-03-12,309.01,309.11,295.17,300.14,6026640,160291983595
2020-03-13,277.13,288.77,270.33,282.5,8085019,222720322925
