키워드,언론사,기사명,날짜,URL
SBS,"장하성 ""코로나 아니면 시진핑 왔을 것""…""왕이는 어떻게 왔나""",2021-10-06,https://news.sbs.co.kr/news/endPage.do?news_id=N1006488131&plink=ORI&cooper=NAVER,해외 코로나 현황
뉴시스,"與 ""이달 말 '위드 코로나' 가야…경구 치료제 무료제공도 검토""",2021-10-06,http://www.newsis.com/view/?id=NISX20211006_0001605167&cID=10301&pID=10300,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 6일 0시 기준, 신규 확진자 2,028명",2021-10-06,http://www.cbci.co.kr/news/articleView.html?idxno=419822,해외 코로나 현황
KOTRA해외시장뉴스,"러시아 반도체 부품, LED시장 현황",2021-10-06,http://news.kotra.or.kr/user/extra/kotranews/bbs/linkView/jsp/Page.do?dataIdx=190855,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(6일),2021-10-06,https://www.news1.kr/photos/view/?5001868,해외 코로나 현황
의학신문,코로나 글로벌 백신 전쟁 속 '한국 자급률 27%' 불과,2021-10-06,http://www.bosa.co.kr/news/articleView.html?idxno=2159536,해외 코로나 현황
아주경제,[상보][코로나19] 신규 확진자 2028명…사흘만에 다시 2000명대,2021-10-06,http://www.ajunews.com/view/20211006094735246,해외 코로나 현황
부산일보,경남에서 코로나19 확진자 60명 추가…도내 하루 97명 감염,2021-10-06,http://www.busan.com/view/busan/view.php?code=2021100617163879044,해외 코로나 현황
노컷뉴스,코로나19 확진 1575명·연이틀 1천명대…91일째 네 자릿수(종합),2021-10-06,https://www.nocutnews.co.kr/news/5633816,해외 코로나 현황
뉴스웍스,[코로나 현황] 신규 확진자 2028명…사흘만에 다시 2000명대,2021-10-06,http://www.newsworks.co.kr/news/articleView.html?idxno=574325,해외 코로나 현황
헤럴드경제,부산 초등학교·어린이집 코로나19 집단감염 발생,2021-10-06,http://news.heraldcorp.com/view.php?ud=20211005000799,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 6일 0시 기준, 신규 확진자 2,028명",2021-10-06,http://www.cbci.co.kr/news/articleView.html?idxno=419822,해외 코로나 현황
국제뉴스,"[속보]전남 코로나 확진자 13명 추가, 목포·여수·순청·광양 등",2021-10-06,http://www.gukjenews.com/news/articleView.html?idxno=2322007,해외 코로나 현황
아주경제,"김용판 의원, 코로나 상황에도 “해외 도피범죄자 매년 늘어”",2021-10-06,http://www.ajunews.com/view/20211005124641662,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(5일),2021-10-06,https://www.news1.kr/photos/view/?4999833,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 2028명, 사흘만에 다시 2000명대... 치명률...",2021-10-06,http://www.getnews.co.kr/news/articleView.html?idxno=553278,해외 코로나 현황
시사매거진,"10월 5일, 서울시 코로나19 발생 현황",2021-10-06,http://www.sisamagazine.co.kr/news/articleView.html?idxno=405957,해외 코로나 현황
노컷뉴스,코로나19 2028명 확진…'연휴 효과' 사라져 사흘 만에 다시 2천 명대(종합),2021-10-06,https://www.nocutnews.co.kr/news/5634665,해외 코로나 현황
국제뉴스,[속보] 오늘 코로나19 실시간 확진자수 '2천명' 또 넘겨,2021-10-07,http://www.gukjenews.com/news/articleView.html?idxno=2322837,해외 코로나 현황
시사위크,"해외서 더 잘 팔린 신라면… 농심, '글로벌 시장 공략' 박차",2021-10-06,http://www.sisaweek.com/news/articleView.html?idxno=147748,해외 코로나 현황
서울신문,코로나19 회복세? 올들어 불법 외환거래 증가,2021-10-05,https://www.seoul.co.kr/news/newsView.php?id=20211004500051&wlog_tag3=naver,해외 코로나 현황
아주경제,"[상보][코로나19] 신규 확진자 1575명, 이틀 연속 1000명대…확산세 여전",2021-10-06,http://www.ajunews.com/view/20211005094428520,해외 코로나 현황
파이낸셜뉴스,"정부, 국산 코로나19 백신·치료제 지원에 내년 5265억원 투입",2021-10-01,http://www.fnnews.com/news/202109301346050028,해외 코로나 현황
경북신문,[전문] 대구 `코로나19` 신규 확진자 50명 발생,2021-10-06,http://www.kbsm.net/default/index_view_page.php?idx=325125&part_idx=320,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 5일 0시 기준, 신규 확진자 1,575명",2021-10-06,http://www.cbci.co.kr/news/articleView.html?idxno=419782,해외 코로나 현황
노동과세계,'위드코로나' 시대의 불평등 해소와 시민권 보장 방안은,2021-10-06,http://worknworld.kctu.org/news/articleView.html?idxno=404249,해외 코로나 현황
전기신문,"“이노비즈기업, 코로나19 위기에도 고성장”",2021-10-06,http://www.electimes.com/article.php?aid=1633419442223368010,해외 코로나 현황
노컷뉴스,코로나19 1673명 확진…11일 만에 2천 명 밑돌아·90일째 네 자릿수(종합),2021-10-05,https://www.nocutnews.co.kr/news/5633507,해외 코로나 현황
시사매거진,"10월 4일, 서울시 코로나19 발생 현황",2021-10-06,http://www.sisamagazine.co.kr/news/articleView.html?idxno=405659,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(4일),2021-10-05,https://www.news1.kr/photos/view/?4998838,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규 확진자 1575명, 연휴영향에 이틀째 1000명대... 치...",2021-10-06,http://www.getnews.co.kr/news/articleView.html?idxno=553079,해외 코로나 현황
후생신보,"코로나 19 신규 확진 2,427명 국내확진 2,400명, 해외유입 27명",3분 전,http://www.whosaeng.com/130638,해외 코로나 현황
국제뉴스,[속보] 오늘 코로나19 실시간 확진자수 '1천9백명' 육박,2021-10-06,http://www.gukjenews.com/news/articleView.html?idxno=2321894,해외 코로나 현황
제주교통복지신문,"[속보]경북 코로나 확진자 55명 추가 발생, 경산·구미·영천·칠곡 등",2021-10-06,https://www.jejutwn.com/news/article.html?no=97961,해외 코로나 현황
메트로신문,"라면업계, 해외 매출이 국내 넘어서자 수출 경쟁 활발",2021-10-06,http://www.metroseoul.co.kr/article/20211006500341,해외 코로나 현황
매일경제,’위드 코로나’ 도입 전망… ‘백신 접종 인증 앱’ 이용 현황 분석,2021-10-06,http://mirakle.mk.co.kr/view.php?year=2021&no=942951,해외 코로나 현황
대경일보,대구 코로나19 신규 확진자 64명 총 1만5904명…사망 늘어,2021-10-06,http://www.dkilbo.com/news/articleView.html?idxno=345875,해외 코로나 현황
노컷뉴스,코로나19 2486명 확진·8일째 '요일 최다'…거리두기 2주 재연장(종합),2021-10-02,https://www.nocutnews.co.kr/news/5632719,해외 코로나 현황
CBC뉴스,"[코로나19 발생현황] 10월 4일 0시 기준, 신규 확진자 1,673명",2021-10-05,http://www.cbci.co.kr/news/articleView.html?idxno=419759,해외 코로나 현황
뉴스1,"미접종자 예약률 6.1%…질병청 ""백신패스, 위드코로나 안전장치""(종합)",2021-09-30,https://www.news1.kr/articles/?4447345,해외 코로나 현황
글로벌경제,"[코로나19 발생현황] 신규확진 1673명, 연휴 영향에 11일만에 2천명 아래로",2021-10-04,http://www.getnews.co.kr/news/articleView.html?idxno=552947,해외 코로나 현황
쿠키뉴스,코로나19 신규 확진 1673명… 11일 만에 2000명대 아래,2021-10-05,http://www.kukinews.com/newsView/kuk202110040011,해외 코로나 현황
뉴스웍스,[코로나 현황] 신규 확진 1673명…11일만에 2000명대 아래로,2021-10-05,http://www.newsworks.co.kr/news/articleView.html?idxno=573966,해외 코로나 현황
이데일리,내년도 코로나19 치료제·백신개발에 5265억 지원,2021-10-01,http://www.edaily.co.kr/news/newspath.asp?newsid=02587926629185368,해외 코로나 현황
위클리오늘,해외예방접종완료자도 쿠브 통해 접종이력 확인 가능,2021-10-06,http://www.weeklytoday.com/news/articleView.html?idxno=410440,해외 코로나 현황
뉴스1,[그래픽] 코로나19 확진자 지역별 현황(2일),2021-10-03,https://www.news1.kr/photos/view/?4997612,해외 코로나 현황
