날짜,시가,고가,저가,종가,거래량,거래대금
2020-01-20,4704.66,4753.0,4683.16,4698.6,40832227,864563392450
2020-01-21,4708.21,4713.38,4623.34,4623.75,115246085,896699020478
2020-01-22,4637.55,4671.57,4615.58,4671.54,51909655,666989842031
2020-01-23,4611.09,4631.28,4565.36,4575.39,36398479,694660157765
2020-01-28,4400.89,4418.88,4324.93,4334.88,93381001,1201474897885
2020-01-29,4367.91,4401.55,4313.92,4378.28,60074646,999824719480
2020-01-30,4381.19,4406.64,4304.59,4323.25,49736466,946296617790
2020-01-31,4351.35,4357.51,4259.75,4267.39,39955345,890861280325
2020-02-03,4172.81,4276.05,4159.24,4262.42,45285952,918683727769
2020-02-04,4302.61,4402.19,4301.71,4389.29,51785374,1161514336347
2020-02-05,4440.18,4469.17,4375.79,4402.03,52439773,1416621956985
2020-02-06,4420.25,4526.91,4412.56,4525.75,34687888,1091686489395
2020-02-07,4502.72,4526.73,4473.15,4501.58,35554191,843393522536
2020-02-10,4461.34,4530.87,4452.34,4526.25,22640909,610321109032
2020-02-11,4563.87,4651.51,4563.87,4640.8,50540457,1246571054600
2020-02-12,4626.92,4662.88,4595.86,4656.88,34686401,934741752349
2020-02-13,4661.92,4698.83,4630.09,4639.68,26137744,826928575732
2020-02-14,4647.84,4652.55,4605.67,4614.61,26756409,661320199872
2020-02-17,4617.65,4667.63,4581.2,4650.87,22441023,765445127465
2020-02-18,4623.8,4667.78,4604.58,4617.86,21331863,605060222432
2020-02-19,4649.82,4655.24,4553.99,4572.79,31855666,802513547938
2020-02-20,4603.36,4621.83,4530.02,4561.56,98534995,1058790585090
2020-02-21,4497.94,4543.62,4472.23,4477.08,74515529,1028529341083
2020-02-24,4364.85,4381.94,4278.79,4279.61,47508033,923341652610
2020-02-25,4289.41,4316.83,4256.6,4314.99,32611721,804636146742
2020-02-26,4240.66,4295.55,4225.34,4272.13,43160558,752303835944
2020-02-27,4259.02,4287.71,4173.54,4194.61,29135573,705265835300
2020-02-28,4106.9,4130.14,4018.57,4037.85,39000244,996203896593
2020-03-02,4053.09,4116.79,4004.67,4076.79,22714819,731268852843
2020-03-03,4181.93,4206.3,4109.0,4116.45,31352727,789017242081
2020-03-04,4115.02,4190.83,4115.02,4174.39,28815238,760499141463
2020-03-05,4235.95,4265.34,4208.49,4250.53,25402047,802442529297
2020-03-06,4193.24,4205.13,4127.52,4153.48,25760216,655039824704
2020-03-09,4017.96,4038.58,3943.11,3947.5,34617229,958373525503
2020-03-10,3914.73,3995.06,3909.63,3980.97,58836564,1059039728557
2020-03-11,4004.45,4009.69,3869.99,3894.25,28401820,747202399769
2020-03-12,3865.08,3880.77,3627.04,3674.76,40523455,1188723960150
2020-03-13,3453.09,3575.79,3341.0,3532.8,53533663,1235996967199
2020-03-16,3593.46,3593.46,3368.91,3369.91,30185621,797840329424
2020-03-17,3221.95,3392.08,3211.4,3355.0,29857178,863024815914
2020-03-18,3378.3,3442.71,3240.84,3241.18,27944503,1034049930529
2020-03-19,3307.16,3325.04,2858.69,2868.05,51498442,1318399466694
2020-03-20,2997.11,3126.66,2896.88,3126.66,41873660,1020284996052
2020-03-23,2931.14,3046.42,2897.64,2952.01,27386179,795289988981
2020-03-24,3054.39,3186.35,2993.76,3184.32,30906461,889544593557
2020-03-25,3303.37,3421.61,3261.5,3415.87,42066776,1190028110263
2020-03-26,3418.03,3506.77,3345.74,3378.43,42817116,1322399138101
2020-03-27,3527.93,3527.93,3332.72,3426.95,39768337,1086078135755
2020-03-30,3307.8,3459.47,3290.98,3431.85,27148410,842676455784
2020-03-31,3481.64,3510.57,3431.13,3504.5,37496527,905402509355
2020-04-01,3468.75,3516.07,3363.88,3366.93,38526633,935529487002
2020-04-02,3396.78,3514.44,3325.31,3498.84,87887352,1099543944243
2020-04-03,3587.35,3593.08,3443.8,3486.48,81435132,1140552206444
2020-04-06,3540.73,3641.07,3529.66,3626.85,82770397,966201933799
2020-04-07,3678.04,3709.61,3603.67,3681.47,46869036,990723369457
2020-04-08,3646.15,3767.42,3635.2,3699.79,46929440,921549545203
2020-04-09,3775.69,3799.96,3713.98,3799.96,51681756,916812521804
2020-04-10,3757.41,3815.1,3729.18,3812.54,42194291,877970280745
2020-04-13,3789.3,3797.24,3734.65,3736.55,46304535,1017812956777
2020-04-14,3794.03,3837.33,3776.62,3815.11,73966353,1054961571524
2020-04-16,3777.43,3852.02,3763.92,3839.54,44122558,924553124208
2020-04-17,3903.64,4008.81,3903.64,3971.76,39501634,1119641053660
2020-04-20,3951.33,4033.9,3946.11,3955.47,31401169,882778847790
2020-04-21,3939.12,3991.81,3839.07,3952.39,44133177,1220399748959
2020-04-22,3897.56,3973.31,3871.34,3969.32,26228242,742330921348
2020-04-23,4008.08,4107.1,3980.46,4107.02,38011536,1086098102852
2020-04-24,4088.53,4091.61,4021.79,4044.57,44194351,884462501543
2020-04-27,4054.93,4102.04,4040.86,4080.06,32751887,802170225977
2020-04-28,4100.22,4113.56,4052.59,4085.2,43293789,1081317501170
2020-04-29,4116.61,4171.82,4116.61,4146.89,52411921,1033307651638
2020-05-04,4043.5,4076.41,4014.47,4020.07,38052732,978125674799
2020-05-06,4083.4,4098.33,4035.83,4070.97,56313206,961489400099
2020-05-07,4044.58,4091.87,4038.19,4072.63,24903627,700238712327
2020-05-08,4089.29,4118.43,4080.07,4101.53,30292487,821735859221
2020-05-11,4113.03,4117.93,4056.13,4056.8,36322621,935853678254
2020-05-12,4054.25,4054.25,3964.05,3977.71,34334592,853834801485
2020-05-13,3929.12,4040.82,3928.85,4040.82,48217564,1054468521148
2020-05-14,4001.79,4023.76,3973.61,4017.34,31486173,1047078544145
2020-05-15,4048.63,4052.42,4003.73,4038.8,38967555,1327085466337
2020-05-18,4069.0,4069.0,4010.03,4059.66,35400299,991573288459
2020-05-19,4145.65,4162.23,4130.94,4146.29,41424374,1378048001577
2020-05-20,4124.12,4162.41,4124.12,4153.21,40461712,802965342583
2020-05-21,4184.72,4246.98,4172.18,4212.13,59777542,1523232912428
2020-05-22,4236.73,4240.37,4115.84,4137.79,38439750,919858308820
2020-05-25,4163.01,4191.03,4107.74,4185.26,40340763,815660288173
